rms,distance,atom_a,atom_b
2.4083955725465436,0.0,1,1
0.393271712582977,4.429597434503725,1,2
0.0689860062667635,8.85919486900745,1,3
0.393271712582977,4.429597434503725,1,4
0.3932717125829768,4.429597434503725,1,5
0.3932717125829769,4.429597434503725,1,6
0.034097371609212786,7.672287813637204,1,7
0.034097371609212786,7.672287813637203,1,8
0.06898600626676371,8.85919486900745,1,9
0.03409733288190012,7.672287813637205,1,10
0.06898600626676371,8.85919486900745,1,11
0.03409737160921305,7.672287813637205,1,12
0.393271712582977,4.429597434503725,1,13
0.03409733288189999,7.672287813637204,1,14
0.03409733288189999,7.672287813637204,1,15
0.393271712582977,4.429597434503725,1,16
0.2180597577799201,4.857977413792058,1,17
0.03136274793165842,7.927333184396722,1,18
0.03136274793165842,7.9273331843967725,1,19
0.2180597577799201,4.857977413792086,1,20
0.21805975777991995,4.857977413792086,1,21
0.2996772912985225,6.574289161930418,1,22
0.12833427487294116,10.103725960256515,1,23
0.29967729129852233,6.5742891619304595,1,24
0.031362747931658504,7.9273331843967725,1,25
0.031362747931658504,7.9273331843967565,1,26
0.12833427487294122,10.103725960256527,1,27
0.12833427487294122,10.103725960256513,1,28
0.031362747931658566,7.927333184396721,1,29
0.01795188026516935,11.032071959143629,1,30
0.031362747931658566,7.927333184396755,1,31
0.29967729129852244,6.574289161930417,1,32
0.8296582171650062,3.0815561821881583,1,33
0.059736637372322786,6.981307568608172,1,34
0.059736637372322786,6.98130756860823,1,35
0.8296582171650062,3.081556182188202,1,36
0.8296582171650061,3.081556182188202,1,37
0.02442590610111139,5.396046880424969,1,38
0.0069779435346577125,9.37983593838558,1,39
0.02442590610111139,5.396046880425019,1,40
0.059736637372322904,6.98130756860823,1,41
0.059736637372322904,6.981307568608211,1,42
0.006977943534657752,9.379835938385595,1,43
0.006977943534657752,9.37983593838558,1,44
0.05973663737232274,6.981307568608171,1,45
0.016792921703121286,10.373169991029329,1,46
0.059736637372322696,6.98130756860821,1,47
0.0244259061011115,5.396046880424968,1,48
0.15533148789184717,3.287144580965208,1,49
0.03417495339290625,5.516035979571814,1,50
0.01924802596359755,9.449373165624088,1,51
0.03417495339290625,5.516035979571838,1,52
0.15533148789184714,3.287144580965229,1,53
0.15533148789184711,3.287144580965208,1,54
0.1165648231696239,7.07446014616612,1,55
0.1165648231696239,7.074460146166149,1,56
0.11656482316962406,7.074460146166149,1,57
0.03417495339290637,5.5160359795718374,1,58
0.11656482316962406,7.074460146166129,1,59
0.03526103144545496,10.436090582923221,1,60
0.11656482316962409,7.07446014616612,1,61
0.019248025963597537,9.449373165624088,1,62
0.019248025963597537,9.44937316562411,1,63
0.11656482316962409,7.07446014616613,1,64
0.022523708854067678,5.849484341885438,1,65
0.04668623512829958,7.337424650224688,1,66
0.020964590792195783,10.616110436172507,1,67
0.04668623512829958,7.337424650224688,1,68
0.046686235128299745,7.337424650224688,1,69
0.046686235128299745,7.337424650224688,1,70
