Direction,Carrier,E_1,C_2D,m_eff,mu,tau
x,e,1.4,49.7,0.69,759.6742529733542,298.0266493110282
x,h,1.26,49.7,1.24,616.3826704384035,434.5609594287413
y,e,0.66,49.9,3.58,208.2376839210226,423.8585550945449
y,h,0.18,49.9,2.45,610.6245734775746,850.5874369505641
