quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
8,-0.531399,200.0,12.9486,9.32826e+19,-169157000000.0,-0.166167,-169157000000.0,9.32826e+19,3.23989,-0.166167,3.23989,4.87434e+17,5.37784e-06,5.23732e-22,-2.09925e-22,1.8312099999999998e-21,5.37784e-06,-6.48337e-23,-1.1944300000000001e-24,1.5621500000000001e-24,-4.93534e-05,449990000000000.0,-816002.0,-4.639e-06,-816002.0,449990000000000.0,4.35559e-06,-4.639e-06,4.35559e-06,1962130000000.0,22.27879821193068,4.039997458406561e-08,7.59487629420683e-18,4.039997458406561e-08,22.27879821193068,1.480833416055075e-16,7.59487629420683e-18,1.480833416055075e-16,4263.601271319287
9,-0.531399,300.0,12.945,9.28512e+19,-168374000000.0,-0.364597,-168374000000.0,9.28512e+19,2.45978,-0.364597,2.45978,4.75375e+17,4.22374e-06,8.29529e-22,-1.53193e-22,1.21575e-21,4.22374e-06,-6.35336e-23,-1.0703900000000002e-24,1.6048e-24,-6.86324e-05,660234000000000.0,-1197260.0,-6.68183e-06,-1197260.0,660234000000000.0,2.82646e-06,-6.68183e-06,2.82646e-06,2678500000000.0,22.376085923870537,4.057622401590693e-08,1.7161722218831114e-17,4.057622401590693e-08,22.376085923870537,1.1578280014519968e-16,1.7161722218831117e-17,1.1578280014519968e-16,4370.542054871391
10,-0.531399,400.0,12.939,9.2194e+19,-167183000000.0,-0.454388,-167183000000.0,9.2194e+19,1.96742,-0.454388,1.96742,4.70691e+17,1.41205e-06,5.82866e-22,-1.02545e-22,6.45579e-22,1.41205e-06,-4.2356e-23,-9.01493e-25,1.4202400000000001e-24,-7.52744e-05,862101000000000.0,-1563320.0,-6.90667e-06,-1563320.0,862101000000000.0,1.95422e-06,-6.90667e-06,1.95422e-06,2907840000000.0,22.525147421938808,4.0846711515304635e-08,2.1744959233121718e-17,4.0846711515304635e-08,22.525147421938808,9.415184382601449e-17,2.1744959233121718e-17,9.41518438260145e-17,4411.988844949716
11,-0.531399,500.0,12.9312,9.14773e+19,-165883000000.0,-0.483748,-165883000000.0,9.14773e+19,1.63189,-0.483748,1.63189,4.60464e+17,-1.86461e-06,7.3443499999999995e-22,-8.30257e-23,8.16617e-22,-1.86461e-06,-2.80142e-23,-8.0629299999999995e-25,1.16913e-24,-7.5306e-05,1047610000000000.0,-1899720.0,-6.74837e-06,-1899720.0,1047610000000000.0,8.46722e-07,-6.74837e-06,8.46722e-07,2868560000000.0,22.68794069268645,4.114183153552746e-08,2.3835187695599966e-17,4.114183153552746e-08,22.68794069268645,8.040633690600311e-17,2.3835187695599963e-17,8.040633690600311e-17,4507.261278030609
12,-0.531399,600.0,12.9222,9.06793e+19,-164436000000.0,-0.482852,-164436000000.0,9.06793e+19,1.38693,-0.482852,1.38693,4.44833e+17,-5.0919e-06,2.0164699999999998e-21,-7.38514e-23,1.25181e-21,-5.0919e-06,-1.7571600000000002e-23,-7.21772e-25,9.46386e-25,-7.26037e-05,1212320000000000.0,-2198390.0,-6.84335e-06,-2198390.0,1212320000000000.0,-8.70752e-07,-6.84335e-06,-8.70752e-07,2713760000000.0,22.871670549427414,4.1475022617793095e-08,2.4826467035065233e-17,4.1475022617793095e-08,22.871670549427414,7.131082004952662e-17,2.4826467035065233e-17,7.13108200495266e-17,4662.39482064661
13,-0.531399,700.0,12.9124,8.97797e+19,-162805000000.0,-0.470232,-162805000000.0,8.97797e+19,1.19516,-0.470232,1.19516,4.26015e+17,-8.09994e-06,-2.1758999999999997e-21,-6.55443e-23,-2.12173e-21,-8.09994e-06,-7.23956e-24,-6.29759e-25,7.75779e-25,-6.89567e-05,1355720000000000.0,-2458430.0,-7.22598e-06,-2458430.0,1355720000000000.0,-2.87498e-06,-7.22598e-06,-2.87498e-06,2521760000000.0,23.083327244237463,4.1858917906810565e-08,2.547919459804037e-17,4.1858917906810565e-08,23.083327244237463,6.475891545964213e-17,2.5479194598040363e-17,6.475891545964213e-17,4864.650763446043
14,-0.531083,100.0,12.9346,9.2391e+19,-167540000000.0,-0.0698357,-167540000000.0,9.2391e+19,4.66734,-0.0698357,4.66734,5.87701e+17,3.39109e-06,1.54177e-21,1.00126e-22,8.21952e-22,3.39109e-06,3.02056e-22,6.276749999999999e-25,2.5381400000000004e-24,-8.81771e-06,228259000000000.0,-413921.0,8.2765e-07,-413921.0,228259000000000.0,5.18966e-06,8.2765e-07,5.18966e-06,1006230000000.0,22.469474843649646,4.07456983397199e-08,2.67001640998507e-18,4.07456983397199e-08,22.469474843649646,1.784456359848192e-16,2.67001640998507e-18,1.784456359848192e-16,3532.369776943776
15,-0.531083,200.0,12.9341,9.27996e+19,-168281000000.0,-0.07408,-168281000000.0,9.27996e+19,3.21567,-0.07408,3.21567,5.0737e+17,5.43956e-06,-5.367250000000001e-23,-1.79641e-22,2.02482e-22,5.43956e-06,2.2181e-23,-1.0224100000000002e-24,1.86836e-24,-4.49787e-05,449463000000000.0,-815046.0,-4.41055e-06,-815046.0,449463000000000.0,5.04023e-06,-4.41055e-06,5.04023e-06,2104520000000.0,22.36967617626167,4.056473817362888e-08,3.266147940742758e-18,4.056473817362888e-08,22.36967617626167,1.4177719728544124e-16,3.266147940742758e-18,1.4177719728544124e-16,4091.485506211666
16,-0.531083,300.0,12.9304,9.25118e+19,-167759000000.0,-0.302628,-167759000000.0,9.25118e+19,2.46295,-0.302628,2.46295,4.95718e+17,4.48131e-06,2.4740099999999997e-22,-1.33852e-22,1.02515e-21,4.48131e-06,-9.89785e-24,-9.458489999999999e-25,1.80755e-24,-6.54049e-05,662889000000000.0,-1202070.0,-6.90581e-06,-1202070.0,662889000000000.0,3.36141e-06,-6.90581e-06,3.36141e-06,2784970000000.0,22.432848120328988,4.0679266513226106e-08,1.3694898835160155e-17,4.0679266513226106e-08,22.432848120328988,1.114564798245244e-16,1.3694898835160158e-17,1.114564798245244e-16,4186.459153668519
17,-0.531083,400.0,12.9242,9.20263e+19,-166879000000.0,-0.422972,-166879000000.0,9.20263e+19,1.97156,-0.422972,1.97156,4.88595e+17,1.70028e-06,6.119049999999999e-22,-9.30104e-23,4.48719e-22,1.70028e-06,-6.64693e-24,-8.31482e-25,1.5386200000000001e-24,-7.17652e-05,867097000000000.0,-1572380.0,-7.01776e-06,-1572380.0,867097000000000.0,2.47478e-06,-7.01776e-06,2.47478e-06,2976440000000.0,22.540383251578962,4.0874365443794283e-08,1.951299318269854e-17,4.0874365443794283e-08,22.540383251578962,9.095409896989184e-17,1.951299318269854e-17,9.095409896989184e-17,4245.45497032262
