quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
4140,-0.344594,400.0,6.29834,1.97538e+20,-358212000000.0,-1.60642,-358212000000.0,1.97538e+20,3.54341,-1.60642,3.54341,7.53037e+16,-3.09083e-06,2.73545e-22,-3.15169e-22,1.02637e-22,-3.09083e-06,-1.1587e-21,-6.55821e-25,2.32197e-23,-6.89618e-05,1824390000000000.0,-3308320.0,-7.33088e-06,-3308320.0,1824390000000000.0,3.45765e-06,-7.33088e-06,0.000131441,1600910000000.0,5.1173489931956855,9.27971234674145e-09,1.0916610653616738e-16,9.27971234674145e-09,5.1173489931956855,2.4079647588461667e-16,1.0916610653616738e-16,2.4079647588461667e-16,13423.920543318449
4141,-0.344594,500.0,6.29821,1.95184e+20,-353943000000.0,-1.45544,-353943000000.0,1.95184e+20,2.99662,-1.45544,2.99662,9.3195e+16,4.41192e-07,-3.26749e-23,-3.91769e-22,-3.60135e-23,4.41192e-07,-7.57039e-22,-8.12624e-25,4.0061700000000005e-23,-8.34509e-05,2305380000000000.0,-4180520.0,-2.12655e-06,-4180520.0,2305380000000000.0,-2.4048e-06,-2.12655e-06,0.000314633,2780000000000.0,5.178959446879373,9.391427798932424e-09,8.088056987202722e-17,9.391427798932424e-09,5.178959446879373,1.6652581623519516e-16,8.088056987202722e-17,1.6652581623519516e-16,10846.612164597927
4142,-0.344594,600.0,6.29854,1.94026e+20,-351843000000.0,-1.25921,-351843000000.0,1.94026e+20,2.53474,-1.25921,2.53474,1.15306e+17,1.76746e-06,-2.99837e-22,-2.62384e-22,2.04276e-22,1.76746e-06,-5.29188e-22,-7.03999e-25,5.30732e-23,-8.26823e-05,2764350000000000.0,-5012810.0,3.93263e-06,-5012810.0,2764350000000000.0,-6.3563e-06,3.93263e-06,0.000486151,4419740000000.0,5.210141862508623,9.447970598428159e-09,5.689784322360791e-17,9.447970598428159e-09,5.210141862508623,1.1453311165661916e-16,5.689784322360791e-17,1.1453311165661916e-16,8767.13254310355
4143,-0.344594,700.0,6.29941,1.93287e+20,-350503000000.0,-1.05655,-350503000000.0,1.93287e+20,2.15679,-1.05655,2.15679,1.40491e+17,2.17913e-06,-8.55975e-22,-1.31533e-22,-6.1828799999999995e-22,2.17913e-06,-3.9956499999999997e-22,-5.05248e-25,5.85255e-23,-7.2762e-05,3204130000000000.0,-5810300.0,9.30596e-06,-5810300.0,3204130000000000.0,-8.69949e-06,9.30596e-06,0.000545003,6494750000000.0,5.230784368648466,9.48540571049472e-09,3.933764585800876e-17,9.48540571049472e-09,5.230784368648466,8.030196531048622e-17,3.933764585800877e-17,8.030196531048622e-17,7196.493855570508
4144,-0.344278,100.0,6.29676,2.53658e+20,-459979000000.0,-1.96282,-459979000000.0,2.53658e+20,3.396,-1.96282,3.396,5.79834e+16,-5.25597e-05,2.5543499999999997e-21,1.0847599999999999e-20,-4.469399999999999e-21,-5.25597e-05,-3.1352299999999998e-21,2.9248e-24,-2.04095e-24,4.96881e-06,435834000000000.0,-790331.0,-2.49238e-06,-790331.0,435834000000000.0,1.60516e-05,-2.49238e-06,1.53827e-05,141426000000.0,3.984172778307565,7.224829535804649e-09,1.3486987634706027e-16,7.224829535804649e-09,3.984172778307565,2.333469707011222e-16,1.3486987634706025e-16,2.333469707011222e-16,17429.424604282267
4145,-0.344278,200.0,6.29361,2.22367e+20,-403236000000.0,-1.94566,-403236000000.0,2.22367e+20,4.80312,-1.94566,4.80312,5.79269e+16,-2.41216e-05,1.5792999999999999e-21,3.71852e-21,-1.19985e-21,-2.41216e-05,-2.3985599999999998e-21,1.04467e-24,1.71546e-24,-1.54365e-05,808222000000000.0,-1465610.0,-4.86119e-06,-1465610.0,808222000000000.0,1.50284e-05,-4.86119e-06,1.94757e-05,345518000000.0,4.542543317776033,8.237359847849439e-09,1.525758290552246e-16,8.237359847849439e-09,4.542543317776033,3.7665369015861926e-16,1.5257582905522462e-16,3.7665369015861926e-16,17437.69699300158
4146,-0.344278,300.0,6.29226,2.05386e+20,-372444000000.0,-1.75275,-372444000000.0,2.05386e+20,4.26958,-1.75275,4.26958,6.40341e+16,-9.46808e-06,-6.10823e-23,6.15663e-22,-4.24274e-22,-9.46808e-06,-1.41188e-21,-1.24193e-25,1.0971900000000001e-23,-4.65133e-05,1296240000000000.0,-2350570.0,-8.01549e-06,-2350570.0,1296240000000000.0,9.5073e-06,-8.01549e-06,4.62151e-05,829813000000.0,4.917058892342927,8.916523434410179e-09,1.3459039692108196e-16,8.916523434410179e-09,4.917058892342927,3.278530703163014e-16,1.3459039692108194e-16,3.278530703163014e-16,15771.207179654966
4147,-0.344278,400.0,6.29162,1.98247e+20,-359496000000.0,-1.61484,-359496000000.0,1.98247e+20,3.60461,-1.61484,3.60461,7.72429e+16,-2.22455e-06,-4.59637e-22,-3.62906e-22,-5.9629599999999995e-22,-2.22455e-06,-8.29753e-22,-7.4244e-25,2.69458e-23,-7.60117e-05,1807370000000000.0,-3277460.0,-6.81533e-06,-3277460.0,1807370000000000.0,3.28449e-06,-6.81533e-06,0.000164139,1615490000000.0,5.093607161529185,9.236615939414448e-09,1.0648694644335455e-16,9.236615939414448e-09,5.093607161529185,2.376977987051763e-16,1.0648694644335455e-16,2.376977987051763e-16,13072.947014569318
4148,-0.344278,500.0,6.29142,1.95307e+20,-354165000000.0,-1.4423,-354165000000.0,1.95307e+20,3.02862,-1.4423,3.02862,9.57389e+16,8.21418e-07,1.46068e-22,-4.59233e-22,-1.14821e-23,8.21418e-07,-5.17301e-22,-8.98965e-25,4.54277e-23,-9.04273e-05,2297040000000000.0,-4165400.0,-2.49947e-06,-4165400.0,2297040000000000.0,-2.06047e-06,-2.49947e-06,0.000385283,2763570000000.0,5.170118016018204,9.37536722771374e-09,7.78874750609066e-17,9.37536722771374e-09,5.170118016018204,1.63552357632592e-16,7.78874750609066e-17,1.63552357632592e-16,10547.021527868686
4149,-0.344278,600.0,6.29166,1.93965e+20,-351733000000.0,-1.24408,-351733000000.0,1.93965e+20,2.55431,-1.24408,2.55431,1.18194e+17,1.97233e-06,2.3289400000000002e-24,-3.28146e-22,1.17838e-22,1.97233e-06,-3.66903e-22,-7.85932e-25,5.97134e-23,-8.93877e-05,2760820000000000.0,-5006410.0,3.11633e-06,-5006410.0,2760820000000000.0,-5.82517e-06,3.11633e-06,0.000591694,4359310000000.0,5.206087484191055,9.44063500671241e-09,5.479795330742763e-17,9.44063500671241e-09,5.206087484191055,1.1250961393978672e-16,5.479795330742763e-17,1.1250961393978672e-16,8543.570391653706
4150,-0.344278,700.0,6.29243,1.93178e+20,-350304000000.0,-1.04479,-350304000000.0,1.93178e+20,2.17086,-1.04479,2.17086,1.43447e+17,2.3279e-06,-9.46234e-23,-1.86665e-22,5.79071e-23,2.3279e-06,-2.91298e-22,-5.79355e-25,6.58432e-23,-7.91644e-05,3203240000000000.0,-5808680.0,8.38848e-06,-5808680.0,3203240000000000.0,-8.21688e-06,8.38848e-06,0.000668637,6392870000000.0,5.227936630052966,9.48020537149196e-09,3.807744944915433e-17,9.48020537149196e-09,5.227936630052966,7.911715478756585e-17,3.807744944915432e-17,7.911715478756583e-17,7040.38663980684
4151,-0.343961,100.0,6.28909,2.83987e+20,-514976000000.0,-3.7543,-514976000000.0,2.83987e+20,4.2768,-3.7543,4.2768,5.75025e+16,-3.86601e-05,3.42431e-21,1.0092199999999999e-20,-4.15622e-22,-3.86601e-05,-6.607949999999999e-21,2.56927e-24,-2.10296e-24,1.11071e-06,409698000000000.0,-742938.0,-1.96916e-07,-742938.0,409698000000000.0,1.60391e-05,-1.96916e-07,1.5862e-05,143404000000.0,3.5543397375477963,6.4453642620381e-09,2.3206047822460176e-16,6.4453642620381e-09,3.5543397375477963,2.643572047362564e-16,2.3206047822460176e-16,2.643572047362564e-16,17553.780775566036
4152,-0.343961,200.0,6.28667,2.29009e+20,-415281000000.0,-2.31947,-415281000000.0,2.29009e+20,5.13751,-2.31947,5.13751,5.83969e+16,-1.79493e-05,-1.15961e-21,3.3729e-21,-1.5272899999999999e-21,-1.79493e-05,-2.5197499999999998e-21,8.691879999999999e-25,2.43425e-24,-1.70503e-05,780946000000000.0,-1416150.0,-2.72227e-06,-1416150.0,780946000000000.0,1.36194e-05,-2.72227e-06,1.8584e-05,359761000000.0,4.405931094065127,7.989640017093039e-09,1.7499944267083326e-16,7.989640017093039e-09,4.405931094065127,3.8761501101152275e-16,1.7499944267083324e-16,3.8761501101152275e-16,17278.278023675233
4153,-0.343961,300.0,6.28552,2.07365e+20,-376031000000.0,-1.84011,-376031000000.0,2.07365e+20,4.38328,-1.84011,4.38328,6.54341e+16,-6.87768e-06,7.0568e-22,5.2561e-22,5.3177e-23,-6.87768e-06,-1.0538799999999999e-21,-2.38049e-25,1.33984e-23,-5.23944e-05,1272790000000000.0,-2308060.0,-6.44825e-06,-2308060.0,1272790000000000.0,8.76012e-06,-6.44825e-06,5.58424e-05,853109000000.0,4.864915975390304,8.821928575902356e-09,1.368091025444908e-16,8.821928575902356e-09,4.864915975390304,3.25889542002954e-16,1.368091025444908e-16,3.25889542002954e-16,15417.241182148302
4154,-0.343961,400.0,6.28489,1.98783e+20,-360470000000.0,-1.62044,-360470000000.0,1.98783e+20,3.65039,-1.62044,3.65039,7.94643e+16,-1.17388e-06,-4.53288e-22,-4.25319e-22,-3.49777e-22,-1.17388e-06,-5.02702e-22,-8.35547e-25,3.10562e-23,-8.28155e-05,1793190000000000.0,-3251730.0,-6.33251e-06,-3251730.0,1793190000000000.0,3.33749e-06,-6.3325e-06,0.000202069,1629760000000.0,5.074438898223706,9.201908561812121e-09,1.0347821266464396e-16,9.201908561812121e-09,5.074438898223706,2.3310695488132013e-16,1.0347821266464397e-16,2.331069548813202e-16,12693.90389779565
4155,-0.343961,500.0,6.28464,1.95367e+20,-354274000000.0,-1.42629,-354274000000.0,1.95367e+20,3.04969,-1.42629,3.04969,9.8593e+16,1.26459e-06,-3.72731e-22,-5.2435e-22,-1.87276e-22,1.26459e-06,-2.83889e-22,-9.81658e-25,5.1118600000000003e-23,-9.69526e-05,2290020000000000.0,-4152670.0,-2.8969e-06,-4152670.0,2290020000000000.0,-1.45112e-06,-2.8969e-06,0.000463369,2745770000000.0,5.162960290167182,9.362392798367628e-09,7.46896696896347e-17,9.362392798367628e-09,5.162960290167182,1.5970128055710314e-16,7.46896696896347e-17,1.5970128055710311e-16,10230.666102148143
4156,-0.343961,600.0,6.28479,1.93879e+20,-351577000000.0,-1.22606,-351577000000.0,1.93879e+20,2.56608,-1.22606,2.56608,1.21396e+17,2.19583e-06,-9.43279e-22,-3.8896999999999997e-22,-3.66405e-22,2.19583e-06,-2.09753e-22,-8.619700000000001e-25,6.65539e-23,-9.55962e-05,2757830000000000.0,-5000990.0,2.25378e-06,-5000990.0,2757830000000000.0,-5.03323e-06,2.25378e-06,0.000705442,4296660000000.0,5.202709616343174,9.434508321092456e-09,5.254566977498441e-17,9.434508321092456e-09,5.202709616343174,1.099753622914974e-16,5.2545669774984423e-17,1.099753622914974e-16,8309.138173473579
4157,-0.343961,700.0,6.28545,1.93056e+20,-350083000000.0,-1.03039,-350083000000.0,1.93056e+20,2.17931,-1.03039,2.17931,1.46709e+17,2.48033e-06,1.60353e-22,-2.37856e-22,1.86485e-22,2.48033e-06,-1.86194e-22,-6.482629999999999e-25,7.323660000000001e-23,-8.51133e-05,3202520000000000.0,-5807390.0,7.39914e-06,-5807390.0,3202520000000000.0,-7.49486e-06,7.39914e-06,0.000800873,6287160000000.0,5.225437522676256,9.475679824771421e-09,3.670012438459769e-17,9.475679824771421e-09,5.225437522676256,7.762201526682034e-17,3.670012438459769e-17,7.762201526682034e-17,6876.211182529956
4158,-0.343644,100.0,6.28099,3.06186e+20,-555231000000.0,-5.44532,-555231000000.0,3.06186e+20,5.72304,-5.44532,5.72304,5.80744e+16,-2.07722e-05,-6.11006e-21,7.97835e-21,-6.37674e-21,-2.07722e-05,-9.767669999999999e-21,1.8592900000000002e-24,-1.9843e-24,-1.31501e-06,395916000000000.0,-717946.0,1.83066e-06,-717946.0,395916000000000.0,1.45618e-05,1.83066e-06,1.47187e-05,139125000000.0,3.2923982329696098,5.970362992723211e-09,3.0871023913782054e-16,5.970362992723211e-09,3.2923982329696098,3.244549534855953e-16,3.087102391378205e-16,3.244549534855953e-16,17358.53052911494
4159,-0.343644,200.0,6.27966,2.33663e+20,-423719000000.0,-2.63976,-423719000000.0,2.33663e+20,5.46474,-2.63976,5.46474,5.88771e+16,-1.08817e-05,1.72675e-22,2.79893e-21,1.5167399999999999e-22,-1.08817e-05,-2.47497e-21,6.08437e-25,3.4249e-24,-1.94521e-05,763152000000000.0,-1383880.0,-1.0181e-06,-1383880.0,763152000000000.0,1.19256e-05,-1.0181e-06,1.73805e-05,376757000000.0,4.313360622086486,7.821746915129328e-09,1.9338990529450686e-16,7.821746915129328e-09,4.313360622086486,4.0034910525982726e-16,1.933899052945069e-16,4.0034910525982726e-16,17118.247723454362
4160,-0.343644,300.0,6.27875,2.0874e+20,-378524000000.0,-1.91487,-378524000000.0,2.0874e+20,4.47252,-1.91487,4.47252,6.70554e+16,-3.92414e-06,6.83975e-22,3.69703e-22,-2.72001e-22,-3.92414e-06,-6.72811e-22,-3.81378e-25,1.6212100000000002e-23,-5.84446e-05,1255500000000000.0,-2276690.0,-5.09057e-06,-2276690.0,1255500000000000.0,8.13831e-06,-5.09057e-06,6.77387e-05,877778000000.0,4.827664701884138,8.754368849362802e-09,1.3786138429631005e-16,8.754368849362802e-09,4.827664701884138,3.219998227690442e-16,1.3786138429631007e-16,3.219998227690442e-16,15028.271099289468
4161,-0.343644,400.0,6.27815,1.99115e+20,-361070000000.0,-1.62128,-361070000000.0,1.99115e+20,3.67915,-1.62128,3.67915,8.19867e+16,1.97876e-08,-1.0109999999999999e-22,-5.00451e-22,-1.01201e-22,1.97876e-08,-1.81729e-22,-9.335579999999999e-25,3.55914e-23,-8.93262e-05,1782390000000000.0,-3232150.0,-5.92878e-06,-3232150.0,1782390000000000.0,3.63457e-06,-5.92878e-06,0.000245581,1643580000000.0,5.060545067321241,9.17666176560119e-09,1.0007184668957607e-16,9.17666176560119e-09,5.060545067321241,2.2709176451250027e-16,1.0007184668957609e-16,2.2709176451250027e-16,12290.169394300161
4162,-0.343644,500.0,6.27784,1.95354e+20,-354250000000.0,-1.40693,-354250000000.0,1.95354e+20,3.05928,-1.40693,3.05928,1.0177e+17,1.75624e-06,-1.62864e-22,-5.86836e-22,-9.26443e-24,1.75624e-06,-5.95665e-23,-1.0601400000000001e-24,5.71455e-23,-0.000102996,2284590000000000.0,-4142820.0,-3.33218e-06,-4142820.0,2284590000000000.0,-5.81701e-07,-3.33218e-06,0.000548604,2726880000000.0,5.157717152983792,9.35287376477834e-09,7.130339948348654e-17,9.35287376477834e-09,5.157717152983792,1.5504471768322117e-16,7.130339948348654e-17,1.5504471768322117e-16,9900.566735816014
4163,-0.343644,600.0,6.27792,1.93765e+20,-351370000000.0,-1.20508,-351370000000.0,1.93765e+20,2.56987,-1.20508,2.56987,1.24919e+17,2.43295e-06,6.28365e-22,-4.44744e-22,4.569399999999999e-22,2.43295e-06,-5.930730000000001e-23,-9.31813e-25,7.357740000000001e-23,-0.000101291,2755490000000000.0,-4996750.0,1.34877e-06,-4996750.0,2755490000000000.0,-3.99399e-06,1.34877e-06,0.000826271,4232430000000.0,5.200080079182921,9.429732600947042e-09,5.016460648571129e-17,9.429732600947042e-09,5.200080079182921,1.0697755971250359e-16,5.016460648571129e-17,1.0697755971250359e-16,8065.974884067908
4164,-0.343644,700.0,6.27848,1.92921e+20,-349840000000.0,-1.01339,-349840000000.0,1.92921e+20,2.18207,-1.01339,2.18207,1.5028e+17,2.63472e-06,-9.660299999999999e-23,-2.84958e-22,-4.49063e-22,2.63472e-06,-8.51762e-23,-7.11704e-25,8.06718e-23,-9.05962e-05,3202030000000000.0,-5806490.0,6.34808e-06,-5806490.0,3202030000000000.0,-6.54749e-06,6.34808e-06,0.000939995,6178610000000.0,5.223295522079314,9.471844461951926e-09,3.5222487546258506e-17,9.471844461951926e-09,5.223295522079314,7.58424038479168e-17,3.5222487546258506e-17,7.58424038479168e-17,6705.372607233586
4165,-0.343328,100.0,6.27268,3.14319e+20,-569980000000.0,-6.593,-569980000000.0,3.14319e+20,7.5323,-6.593,7.5323,5.89369e+16,-1.36716e-06,-9.95434e-22,4.74069e-21,-8.32184e-22,-1.36716e-06,-1.17328e-20,9.34766e-25,-2.4189300000000002e-24,8.19007e-07,398082000000000.0,-721873.0,3.00615e-06,-721873.0,398082000000000.0,1.20301e-05,3.00615e-06,1.20273e-05,132602000000.0,3.2029642086415717,5.808193394740767e-09,3.583008774439244e-16,5.808193394740767e-09,3.2029642086415717,4.093477476836667e-16,3.583008774439244e-16,4.093477476836667e-16,17081.87073117199
4166,-0.343328,200.0,6.27259,2.35906e+20,-427786000000.0,-2.87427,-427786000000.0,2.35906e+20,5.7504,-2.87427,5.7504,5.94199e+16,-3.35799e-06,-7.217439999999999e-22,2.06111e-21,-5.628070000000001e-23,-3.35799e-06,-2.2041499999999998e-21,2.82324e-25,4.77843e-24,-2.27956e-05,755743000000000.0,-1370450.0,1.16333e-07,-1370450.0,755743000000000.0,1.01421e-05,1.16333e-07,1.61389e-05,396286000000.0,4.267539029432344,7.73864781414947e-09,2.0643015827401566e-16,7.73864781414947e-09,4.267539029432344,4.129939029282242e-16,2.0643015827401566e-16,4.129939029282242e-16,16942.776111660678
4167,-0.343328,300.0,6.27195,2.09427e+20,-379770000000.0,-1.97073,-379770000000.0,2.09427e+20,4.53152,-1.97073,4.53152,6.89321e+16,-7.39757e-07,-1.40232e-22,1.62771e-22,-9.36663e-23,-7.39757e-07,-2.70054e-22,-5.47716e-25,1.94692e-23,-6.46383e-05,1244940000000000.0,-2257540.0,-4.01598e-06,-2257540.0,1244940000000000.0,7.71564e-06,-4.01598e-06,8.23729e-05,903324000000.0,4.806616833389193,8.716206004078816e-09,1.3741847343352986e-16,8.716206004078816e-09,4.806616833389193,3.1598167320685877e-16,1.3741847343352984e-16,3.159816732068588e-16,14603.288505155055
4168,-0.343328,400.0,6.27139,1.99215e+20,-361253000000.0,-1.6156,-361253000000.0,1.99215e+20,3.68952,-1.6156,3.68952,8.48307e+16,1.30943e-06,-3.5105e-22,-5.8528e-22,-1.99502e-22,1.30943e-06,1.2893999999999998e-22,-1.0343000000000001e-24,4.05847e-23,-9.54965e-05,1775380000000000.0,-3219440.0,-5.64228e-06,-3219440.0,1775380000000000.0,4.18901e-06,-5.64228e-06,0.000294925,1656870000000.0,5.052558616038021,9.162221508016881e-09,9.62259378534755e-17,9.162221508016881e-09,5.052558616038021,2.1974964311554793e-16,9.62259378534755e-17,2.1974964311554793e-16,11865.34432338781
4169,-0.343328,500.0,6.27104,1.9526e+20,-354080000000.0,-1.38372,-354080000000.0,1.9526e+20,3.05698,-1.38372,3.05698,1.05283e+17,2.27968e-06,-1.08362e-22,-6.46202e-22,-4.66625e-23,2.27968e-06,1.53175e-22,-1.13372e-24,6.35073e-23,-0.000108535,2280950000000000.0,-4136220.0,-3.81649e-06,-4136220.0,2280950000000000.0,5.37889e-07,-3.81648e-06,0.000640486,2707210000000.0,5.154610726205568,9.347252719117418e-09,6.774634010705244e-17,9.347252719117418e-09,5.154610726205568,1.496684354061141e-16,6.774634010705244e-17,1.496684354061141e-16,9559.846227775604
4170,-0.343328,600.0,6.27104,1.93621e+20,-351108000000.0,-1.18106,-351108000000.0,1.93621e+20,2.56553,-1.18106,2.56553,1.28771e+17,2.67794e-06,1.9941e-22,-4.95365e-22,1.11196e-22,2.67794e-06,8.305270000000001e-23,-9.95193e-25,8.075490000000001e-23,-0.000106462,2753890000000000.0,-4993850.0,4.05356e-07,-4993850.0,2753890000000000.0,-2.72456e-06,4.05361e-07,0.000952825,4167290000000.0,5.198244459014771,9.426380483086845e-09,4.7677183345476245e-17,9.426380483086845e-09,5.198244459014771,1.0356564828884645e-16,4.767718334547626e-17,1.0356564828884643e-16,7816.117684873915
4171,-0.343328,700.0,6.27152,1.92774e+20,-349572000000.0,-0.993835,-349572000000.0,1.92774e+20,2.17911,-0.993835,2.17911,1.54163e+17,2.7891e-06,-3.16164e-22,-3.2787e-22,-2.9743e-22,2.7891e-06,1.09438e-23,-7.6947e-25,8.81062e-23,-9.56056e-05,3201780000000000.0,-5806050.0,5.24559e-06,-5806050.0,3201780000000000.0,-5.39172e-06,5.2456e-06,0.00108408,6068190000000.0,5.2214838589861685,9.468520420562485e-09,3.366108203889761e-17,9.468520420562485e-09,5.2214838589861685,7.380621603462051e-17,3.3661082038897603e-17,7.380621603462053e-17,6529.234183508363
4172,-0.343011,100.0,6.26447,3.06756e+20,-556264000000.0,-6.80624,-556264000000.0,3.06756e+20,9.256,-6.80624,9.256,5.89463e+16,1.72342e-05,-4.2322899999999997e-22,8.203309999999999e-22,1.2788499999999999e-21,1.72342e-05,-1.1971099999999998e-20,-6.37584e-26,-3.63877e-24,7.25606e-06,415148000000000.0,-752821.0,2.79551e-06,-752821.0,415148000000000.0,9.00602e-06,2.79551e-06,1.02377e-05,129295000000.0,3.2776370099707663,5.943588629772127e-09,3.7845266060345722e-16,5.943588629772127e-09,3.2776370099707663,5.146685733258224e-16,3.7845266060345727e-16,5.146685733258224e-16,17056.792684707816
4173,-0.343011,200.0,6.2655,2.3558e+20,-427196000000.0,-3.00281,-427196000000.0,2.3558e+20,5.95685,-3.00281,5.95685,6.00911e+16,4.17832e-06,4.1440999999999996e-22,1.2362399999999999e-21,4.24293e-22,4.17832e-06,-1.6770799999999998e-21,-8.49613e-26,6.5938000000000006e-24,-2.72263e-05,758652000000000.0,-1375720.0,6.10298e-07,-1375720.0,758652000000000.0,8.52335e-06,6.10298e-07,1.5286e-05,417961000000.0,4.268614192869587,7.740618510642314e-09,2.1330675155523898e-16,7.740618510642314e-09,4.268614192869587,4.231490924871003e-16,2.1330675155523898e-16,4.231490924871004e-16,16734.593501470557
4174,-0.343011,300.0,6.26513,2.09384e+20,-379692000000.0,-2.0029,-379692000000.0,2.09384e+20,4.55503,-2.0029,4.55503,7.11038e+16,2.53812e-06,2.19571e-22,-7.799230000000001e-23,7.478380000000001e-23,2.53812e-06,1.48634e-22,-7.29142e-25,2.3226e-23,-7.09176e-05,1241360000000000.0,-2251050.0,-3.27255e-06,-2251050.0,1241360000000000.0,7.56549e-06,-3.27255e-06,0.000100247,929225000000.0,4.80237624317704,8.708515648399001e-09,1.3527658631172657e-16,8.708515648399001e-09,4.80237624317704,3.0764836536888924e-16,1.3527658631172654e-16,3.076483653688893e-16,14141.870720009076
4175,-0.343011,400.0,6.26461,1.99071e+20,-360991000000.0,-1.6019,-360991000000.0,1.99071e+20,3.68041,-1.6019,3.68041,8.80185e+16,2.64446e-06,-2.97536e-22,-6.7607699999999995e-22,-3.99638e-22,2.64446e-06,4.25093e-22,-1.1351900000000002e-24,4.6058800000000004e-23,-0.00010128,1772390000000000.0,-3214020.0,-5.5011e-06,-3214020.0,1772390000000000.0,5.00768e-06,-5.5011e-06,0.000350195,1669600000000.0,5.050747162312132,9.15891450221388e-09,9.19214920226912e-17,9.15891450221388e-09,5.050747162312132,2.1119219651520457e-16,9.19214920226912e-17,2.1119219651520457e-16,11423.249525368401
4176,-0.343011,500.0,6.26423,1.9508e+20,-353754000000.0,-1.35626,-353754000000.0,1.9508e+20,3.04251,-1.35626,3.04251,1.09146e+17,2.81666e-06,-7.52646e-22,-7.01809e-22,-7.52128e-22,2.81666e-06,3.52156e-22,-1.2016700000000002e-24,7.01877e-23,-0.00011355,2279220000000000.0,-4133090.0,-4.3578e-06,-4133090.0,2279220000000000.0,1.89283e-06,-4.35779e-06,0.000738254,2687080000000.0,5.1537640922387835,9.345728227833909e-09,6.404122972262201e-17,9.345728227833909e-09,5.1537640922387835,1.4366425499424795e-16,6.404122972262201e-17,1.4366425499424792e-16,9211.480944001083
4177,-0.343011,600.0,6.26417,1.93445e+20,-350789000000.0,-1.15395,-350789000000.0,1.93445e+20,2.55302,-1.15395,2.55302,1.32959e+17,2.92452e-06,7.53867e-22,-5.40742e-22,2.72739e-22,2.92452e-06,2.16154e-22,-1.0518800000000002e-24,8.804380000000001e-23,-0.000111105,2753070000000000.0,-4992360.0,-5.71816e-07,-4992360.0,2753070000000000.0,-1.24531e-06,-5.7181e-07,0.00108349,4101890000000.0,5.1972740015755345,9.424624827411822e-09,4.5107095496031343e-17,9.424624827411822e-09,5.1972740015755345,9.979576005104449e-17,4.5107095496031356e-17,9.979576005104449e-17,7561.629293502351
4178,-0.343011,700.0,6.26455,1.92612e+20,-349279000000.0,-0.971762,-349279000000.0,1.92612e+20,2.17043,-0.971762,2.17043,1.58361e+17,2.94136e-06,-1.06552e-22,-3.66535e-22,4.59136e-22,2.94136e-06,1.01469e-22,-8.21414e-25,9.54875e-23,-0.000100139,3201810000000000.0,-5806090.0,4.10178e-06,-5806090.0,3201810000000000.0,-4.04667e-06,4.10179e-06,0.00123101,5956840000000.0,5.220067589088301,9.465972979093579e-09,3.203227625464852e-17,9.465972979093579e-09,5.220067589088301,7.154407517119903e-17,3.2032276254648514e-17,7.154407517119903e-17,6349.08631840842
4179,-0.342695,100.0,6.2566,2.8661e+20,-519732000000.0,-6.0114,-519732000000.0,2.8661e+20,10.3751,-6.0114,10.3751,5.73456e+16,3.30859e-05,2.9236e-22,-3.0057499999999997e-21,1.60267e-21,3.30859e-05,-1.0150299999999999e-20,-9.82958e-25,-4.82129e-24,1.4894e-05,443806000000000.0,-804788.0,7.85398e-07,-804788.0,443806000000000.0,5.98544e-06,7.85398e-07,1.07282e-05,133136000000.0,3.50361710854621,6.353378901848989e-09,3.672756727699726e-16,6.353378901848989e-09,3.50361710854621,6.33882596479679e-16,3.672756727699726e-16,6.33882596479679e-16,17510.876152319084
4180,-0.342695,200.0,6.25843,2.32818e+20,-422187000000.0,-3.02082,-422187000000.0,2.32818e+20,6.05062,-3.02082,6.05062,6.09785e+16,1.13094e-05,-5.45156e-23,4.03912e-22,1.12509e-23,1.13094e-05,-9.05633e-22,-4.67116e-25,8.97331e-24,-3.28451e-05,770881000000000.0,-1397900.0,4.69673e-07,-1397900.0,770881000000000.0,7.35331e-06,4.69673e-07,1.54387e-05,441078000000.0,4.314380377783888,7.82360173421061e-09,2.1373051953523755e-16,7.82360173421061e-09,4.314380377783888,4.2809639754656227e-16,2.1373051953523755e-16,4.2809639754656237e-16,16472.451942814092
