quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
1445,-0.334541,400.0,14.0276,1.12739e+20,-146943000000.0,-4.36571,-146943000000.0,1.12739e+20,-13.5189,-4.36571,-13.5189,3.98096e+17,-2.7028e-06,-3.17093e-22,-2.23015e-21,-3.2075e-22,-2.7028e-06,2.37279e-21,-9.8821e-24,2.1632500000000003e-24,-5.4535e-05,1108790000000000.0,-1445180.0,-0.000147772,-1445180.0,1108790000000000.0,4.31055e-05,-0.000147772,4.31055e-05,3811020000000.0
1446,-0.334541,500.0,14.0156,1.12873e+20,-147117000000.0,-5.79534,-147117000000.0,1.12873e+20,-10.6833,-5.79534,-10.6833,4.0629e+17,-5.80597e-06,-2.26087e-22,-2.7400999999999996e-21,-2.52959e-24,-5.80597e-06,1.86178e-21,-1.2327200000000001e-23,2.15911e-24,-5.37982e-05,1394250000000000.0,-1817260.0,-0.000253152,-1817260.0,1394250000000000.0,0.000106785,-0.000253152,0.000106785,4643950000000.0
1447,-0.334541,600.0,14.0052,1.13054e+20,-147354000000.0,-7.5314,-147354000000.0,1.13054e+20,-8.00888,-7.5314,-8.00888,4.1074e+17,-8.30229e-06,9.7749e-23,-3.2143499999999997e-21,-3.81078e-22,-8.30229e-06,1.5250499999999998e-21,-1.44739e-23,2.56769e-24,-5.02696e-05,1685420000000000.0,-2196760.0,-0.000342694,-2196760.0,1685420000000000.0,0.000163089,-0.000342694,0.000163089,5447610000000.0
1448,-0.334541,700.0,13.9965,1.13298e+20,-147672000000.0,-9.19548,-147672000000.0,1.13298e+20,-5.67043,-9.19548,-5.67043,4.12335e+17,-1.04212e-05,-1.31328e-21,-3.61758e-21,-7.62113e-22,-1.04212e-05,1.37644e-21,-1.60527e-23,3.2291600000000003e-24,-4.5991e-05,1979670000000000.0,-2580290.0,-0.00040276,-2580290.0,1979670000000000.0,0.00021555,-0.00040276,0.00021555,6225480000000.0
1449,-0.334225,100.0,14.0365,9.22415e+19,-120227000000.0,-12.6666,-120227000000.0,9.22415e+19,-6.2333,-12.6666,-6.2333,4.17775e+17,-1.39853e-05,1.69492e-22,5.04542e-22,5.55219e-22,-1.39853e-05,2.54513e-21,4.119190000000001e-24,1.24298e-23,-6.2928e-07,306860000000000.0,-399959.0,2.14079e-05,-399959.0,306860000000000.0,-6.73241e-05,2.14079e-05,-6.73241e-05,862466000000.0
1450,-0.334225,200.0,14.0306,1.08771e+20,-141771000000.0,-4.20005,-141771000000.0,1.08771e+20,-16.5887,-4.20005,-16.5887,3.90757e+17,2.57502e-06,4.47513e-22,-1.04353e-21,-1.93283e-22,2.57502e-06,1.32066e-21,-4.91596e-24,1.34758e-25,-2.76504e-05,582202000000000.0,-758837.0,-7.88373e-06,-758837.0,582202000000000.0,-8.46731e-05,-7.88373e-06,-8.46731e-05,1938490000000.0
1451,-0.334225,300.0,14.0196,1.12076e+20,-146079000000.0,-3.37487,-146079000000.0,1.12076e+20,-16.5579,-3.37487,-16.5579,3.9811e+17,9.13251e-07,3.75714e-23,-1.63523e-21,-3.3653300000000005e-24,9.13251e-07,2.2998799999999998e-21,-7.2842e-24,9.296800000000002e-25,-4.80913e-05,840109000000000.0,-1094990.0,-5.38545e-05,-1094990.0,840109000000000.0,-2.91348e-05,-5.38545e-05,-2.91348e-05,2969570000000.0
1452,-0.334225,400.0,14.0067,1.1276e+20,-146971000000.0,-3.98347,-146971000000.0,1.1276e+20,-14.0394,-3.98347,-14.0394,4.08851e+17,-2.8006e-06,1.29905e-22,-2.05289e-21,6.34696e-23,-2.8006e-06,2.00317e-21,-9.255940000000001e-24,8.75193e-25,-5.4107e-05,1115550000000000.0,-1453990.0,-0.000143211,-1453990.0,1115550000000000.0,4.26643e-05,-0.000143211,4.26643e-05,3826530000000.0
1453,-0.334225,500.0,13.9945,1.13038e+20,-147333000000.0,-5.42155,-147333000000.0,1.13038e+20,-11.0607,-5.42155,-11.0607,4.15586e+17,-5.87241e-06,-7.30184e-22,-2.5019499999999998e-21,-6.98447e-22,-5.87241e-06,1.5151999999999998e-21,-1.1466300000000001e-23,9.439999999999999e-25,-5.31559e-05,1400920000000000.0,-1825950.0,-0.000246635,-1825950.0,1400920000000000.0,0.000106105,-0.000246635,0.000106105,4627280000000.0
1454,-0.334225,600.0,13.9841,1.13291e+20,-147662000000.0,-7.16472,-147662000000.0,1.13291e+20,-8.2707,-7.16472,-8.2707,4.18427e+17,-8.37639e-06,7.21712e-23,-2.96904e-21,6.324140000000001e-23,-8.37639e-06,1.22642e-21,-1.3570400000000002e-23,1.5230200000000002e-24,-4.95608e-05,1692070000000000.0,-2205430.0,-0.000335306,-2205430.0,1692070000000000.0,0.000161147,-0.000335306,0.000161147,5412170000000.0
1455,-0.334225,700.0,13.9754,1.13573e+20,-148030000000.0,-8.83696,-148030000000.0,1.13573e+20,-5.862,-8.83696,-5.862,4.18598e+17,-1.05032e-05,-1.42588e-21,-3.39646e-21,-1.58335e-21,-1.05032e-05,1.12507e-21,-1.5225e-23,2.3513e-24,-4.52877e-05,1986360000000000.0,-2589010.0,-0.000395751,-2589010.0,1986360000000000.0,0.000212604,-0.000395751,0.000212604,6181020000000.0
1456,-0.333908,100.0,14.0185,9.73566e+19,-126894000000.0,-11.8161,-126894000000.0,9.73566e+19,-10.3632,-11.8161,-10.3632,4.14977e+17,-2.50005e-05,-1.75682e-21,-2.5066e-21,-4.29513e-22,-2.50005e-05,3.407099999999999e-21,-6.93425e-24,1.7811500000000002e-23,5.89684e-06,287797000000000.0,-375112.0,1.64723e-05,-375112.0,287797000000000.0,-5.26328e-05,1.64723e-05,-5.26328e-05,881231000000.0
1457,-0.333908,200.0,14.0109,1.08922e+20,-141968000000.0,-3.82396,-141968000000.0,1.08922e+20,-17.0543,-3.82396,-17.0543,3.97711e+17,1.31523e-07,3.36223e-23,-1.27634e-21,1.9971400000000002e-23,1.31523e-07,1.51188e-21,-5.62684e-24,1.20986e-24,-2.73987e-05,577567000000000.0,-752797.0,-6.20698e-06,-752797.0,577567000000000.0,-8.72998e-05,-6.20698e-06,-8.72998e-05,2042880000000.0
1458,-0.333908,300.0,13.9988,1.11912e+20,-145866000000.0,-2.97003,-145866000000.0,1.11912e+20,-17.0798,-2.97003,-17.0798,4.09439e+17,3.8071e-07,-2.77622e-23,-1.59238e-21,-2.97315e-23,3.8071e-07,2.0243899999999997e-21,-7.11088e-24,1.64288e-26,-4.80403e-05,844967000000000.0,-1101320.0,-5.20321e-05,-1101320.0,844967000000000.0,-3.15649e-05,-5.20321e-05,-3.15649e-05,3030400000000.0
1459,-0.333908,400.0,13.9855,1.12796e+20,-147017000000.0,-3.61194,-147017000000.0,1.12796e+20,-14.5041,-3.61194,-14.5041,4.1987e+17,-2.97019e-06,-3.4161499999999997e-22,-1.88215e-21,-3.29384e-22,-2.97019e-06,1.6358799999999999e-21,-8.625590000000001e-24,-4.13895e-25,-5.3545e-05,1122060000000000.0,-1462490.0,-0.000139245,-1462490.0,1122060000000000.0,4.23746e-05,-0.000139245,4.23746e-05,3841160000000.0
1460,-0.333908,500.0,13.9733,1.13208e+20,-147554000000.0,-5.07082,-147554000000.0,1.13208e+20,-11.3837,-5.07082,-11.3837,4.2503e+17,-5.97564e-06,2.8963999999999997e-22,-2.27297e-21,2.16786e-22,-5.97564e-06,1.1693799999999999e-21,-1.0611e-23,-2.73212e-25,-5.23534e-05,1407550000000000.0,-1834600.0,-0.000240363,-1834600.0,1407550000000000.0,0.000105086,-0.000240363,0.000105086,4610780000000.0
1461,-0.333908,600.0,13.9629,1.13531e+20,-147976000000.0,-6.82361,-147976000000.0,1.13531e+20,-8.48784,-6.82361,-8.48784,4.26179e+17,-8.4691e-06,-1.33291e-21,-2.7321499999999997e-21,-8.202199999999999e-22,-8.4691e-06,9.30153e-22,-1.2674700000000001e-23,4.83089e-25,-4.87109e-05,1698740000000000.0,-2214120.0,-0.000327794,-2214120.0,1698740000000000.0,0.0001587,-0.000327794,0.0001587,5377610000000.0
1462,-0.333908,700.0,13.9542,1.13851e+20,-148392000000.0,-8.50155,-148392000000.0,1.13851e+20,-6.0191,-8.50155,-6.0191,4.2488e+17,-1.05948e-05,-1.32079e-21,-3.1815599999999997e-21,-1.3423e-21,-1.05948e-05,8.76905e-22,-1.44029e-23,1.4816e-24,-4.44701e-05,1993060000000000.0,-2597740.0,-0.000388334,-2597740.0,1993060000000000.0,0.000209145,-0.000388334,0.000209145,6137720000000.0
1463,-0.333592,100.0,13.9999,1.04646e+20,-136395000000.0,-7.98892,-136395000000.0,1.04646e+20,-14.7696,-7.98892,-14.7696,4.04483e+17,-2.88833e-05,1.62444e-21,-4.02377e-21,1.97691e-21,-2.88833e-05,3.47072e-21,-1.24751e-23,1.91052e-23,1.14322e-05,266055000000000.0,-346774.0,1.42697e-06,-346774.0,266055000000000.0,-4.26129e-05,1.42697e-06,-4.26129e-05,924511000000.0
1464,-0.333592,200.0,13.9909,1.09442e+20,-142645000000.0,-3.28164,-142645000000.0,1.09442e+20,-17.7659,-3.28164,-17.7659,4.04545e+17,-1.6321e-06,-2.07361e-22,-1.4885399999999999e-21,-2.13933e-23,-1.6321e-06,1.6552999999999998e-21,-6.29857e-24,1.808e-24,-2.8187e-05,570027000000000.0,-742968.0,-6.08764e-06,-742968.0,570027000000000.0,-8.70905e-05,-6.08764e-06,-8.70905e-05,2150760000000.0
1465,-0.333592,300.0,13.9777,1.11826e+20,-145753000000.0,-2.54508,-145753000000.0,1.11826e+20,-17.5902,-2.54508,-17.5902,4.21167e+17,-1.93367e-07,-3.23396e-23,-1.54364e-21,-4.5449400000000004e-23,-1.93367e-07,1.7600399999999997e-21,-6.9033e-24,-9.01413e-25,-4.80649e-05,848822000000000.0,-1106350.0,-5.09664e-05,-1106350.0,848822000000000.0,-3.27082e-05,-5.09664e-05,-3.27082e-05,3088380000000.0
1466,-0.333592,400.0,13.964,1.12851e+20,-147089000000.0,-3.25196,-147089000000.0,1.12851e+20,-14.9119,-3.25196,-14.9119,4.31147e+17,-3.20255e-06,-3.20327e-22,-1.7156e-21,-3.2048e-22,-3.20255e-06,1.27049e-21,-7.98499e-24,-1.7060300000000003e-24,-5.28472e-05,1128280000000000.0,-1470590.0,-0.000135841,-1470590.0,1128280000000000.0,4.22897e-05,-0.000135841,4.22897e-05,3854270000000.0
1467,-0.333592,500.0,13.9518,1.13386e+20,-147786000000.0,-4.74363,-147786000000.0,1.13386e+20,-11.6494,-4.74363,-11.6494,4.34593e+17,-6.1137e-06,7.57824e-23,-2.05222e-21,6.6036e-22,-6.1137e-06,8.25478e-22,-9.76031e-24,-1.48828e-24,-5.1395e-05,1414100000000000.0,-1843130.0,-0.00023433,-1843130.0,1414100000000000.0,0.000103728,-0.00023433,0.000103728,4594420000000.0
1468,-0.333592,600.0,13.9415,1.13777e+20,-148296000000.0,-6.50828,-148296000000.0,1.13777e+20,-8.65825,-6.50828,-8.65825,4.3397e+17,-8.57983e-06,-1.10069e-21,-2.50353e-21,-1.34195e-21,-8.57983e-06,6.37455e-22,-1.17882e-23,-5.47496e-25,-4.7725e-05,1705380000000000.0,-2222780.0,-0.000320173,-2222780.0,1705380000000000.0,0.000155744,-0.000320173,0.000155744,5344110000000.0
1469,-0.333592,700.0,13.9329,1.14133e+20,-148759000000.0,-8.18932,-148759000000.0,1.14133e+20,-6.14063,-8.18932,-6.14063,4.3116e+17,-1.06957e-05,-1.5252699999999999e-21,-2.97316e-21,-1.14948e-21,-1.06957e-05,6.32902e-22,-1.3588600000000002e-23,6.23685e-25,-4.35424e-05,1999760000000000.0,-2606470.0,-0.000380536,-2606470.0,1999760000000000.0,0.00020518,-0.000380536,0.00020518,6095800000000.0
1470,-0.333275,100.0,13.9806,1.12532e+20,-146674000000.0,-3.67407,-146674000000.0,1.12532e+20,-18.8472,-3.67407,-18.8472,3.88948e+17,-2.63204e-05,2.2723999999999998e-21,-3.81606e-21,2.11347e-21,-2.63204e-05,3.24807e-21,-1.1871700000000001e-23,1.79866e-23,1.40434e-05,247356000000000.0,-322402.0,-1.12525e-05,-322402.0,247356000000000.0,-3.75252e-05,-1.12525e-05,-3.75252e-05,991185000000.0
1471,-0.333275,200.0,13.9704,1.10152e+20,-143572000000.0,-2.59301,-143572000000.0,1.10152e+20,-18.6265,-2.59301,-18.6265,4.1196e+17,-2.55349e-06,-3.94524e-22,-1.64166e-21,-3.28689e-22,-2.55349e-06,1.71955e-21,-6.7867e-24,1.783e-24,-3.00405e-05,561543000000000.0,-731911.0,-7.24142e-06,-731911.0,561543000000000.0,-8.52653e-05,-7.24142e-06,-8.52653e-05,2255820000000.0
1472,-0.333275,300.0,13.9561,1.11808e+20,-145729000000.0,-2.10314,-145729000000.0,1.11808e+20,-18.0895,-2.10314,-18.0895,4.33416e+17,-7.71515e-07,-1.1989e-22,-1.4837999999999999e-21,-8.85405e-23,-7.71515e-07,1.49829e-21,-6.64265e-24,-1.8538400000000002e-24,-4.8128e-05,851922000000000.0,-1110390.0,-5.0584e-05,-1110390.0,851922000000000.0,-3.25719e-05,-5.0584e-05,-3.25719e-05,3141190000000.0
1473,-0.333275,400.0,13.9422,1.12931e+20,-147193000000.0,-2.90507,-147193000000.0,1.12931e+20,-15.2608,-2.90507,-15.2608,4.42673e+17,-3.48836e-06,-6.040250000000001e-23,-1.5512399999999999e-21,-1.38973e-22,-3.48836e-06,9.06303e-22,-7.32878e-24,-3.00402e-24,-5.20076e-05,1134140000000000.0,-1478230.0,-0.000132959,-1478230.0,1134140000000000.0,4.24342e-05,-0.000132959,4.24342e-05,3865320000000.0
1474,-0.333275,500.0,13.93,1.13574e+20,-148031000000.0,-4.44072,-148031000000.0,1.13574e+20,-11.8548,-4.44072,-11.8548,4.44246e+17,-6.2839e-06,-2.48154e-22,-1.83884e-21,-6.53409e-22,-6.2839e-06,4.8458799999999995e-22,-8.913050000000001e-24,-2.69723e-24,-5.0284e-05,1420500000000000.0,-1851470.0,-0.000228526,-1851470.0,1420500000000000.0,0.000102025,-0.000228526,0.000102025,4578200000000.0
1475,-0.333275,600.0,13.9199,1.14028e+20,-148624000000.0,-6.21902,-148624000000.0,1.14028e+20,-8.78005,-6.21902,-8.78005,4.41771e+17,-8.70765e-06,-1.20341e-21,-2.28302e-21,-1.20313e-21,-8.70765e-06,3.4950899999999997e-22,-1.0912e-23,-1.5642200000000002e-24,-4.66082e-05,1711960000000000.0,-2231360.0,-0.000312455,-2231360.0,1711960000000000.0,0.000152276,-0.000312455,0.000152276,5311860000000.0
1476,-0.333275,700.0,13.9115,1.14419e+20,-149133000000.0,-7.90034,-149133000000.0,1.14419e+20,-6.22564,-7.90034,-6.22564,4.37415e+17,-1.08056e-05,-1.34371e-21,-2.77149e-21,-1.51939e-21,-1.08056e-05,3.93976e-22,-1.27842e-23,-2.18872e-25,-4.25091e-05,2006430000000000.0,-2615160.0,-0.000372382,-2615160.0,2006430000000000.0,0.000200715,-0.000372382,0.000200715,6055520000000.0
1477,-0.332958,100.0,13.9607,1.19382e+20,-155602000000.0,-0.878352,-155602000000.0,1.19382e+20,-22.4895,-0.878352,-22.4895,3.71965e+17,-1.91344e-05,-2.11285e-21,-2.73198e-21,-1.28265e-21,-1.91344e-05,3.0630599999999997e-21,-8.28062e-24,-3.23538e-22,1.23345e-05,234400000000000.0,-305515.0,-1.41048e-05,-305515.0,234400000000000.0,-3.47257e-05,-1.41048e-05,-6.22464e-05,1079350000000.0
1478,-0.332958,200.0,13.9494,1.10866e+20,-144502000000.0,-1.80304,-144502000000.0,1.10866e+20,-19.5286,-1.80304,-19.5286,4.20754e+17,-2.66187e-06,-2.6706999999999997e-22,-1.71488e-21,-1.51088e-22,-2.66187e-06,1.69979e-21,-6.999e-24,1.13561e-24,-3.28378e-05,554073000000000.0,-722174.0,-9.15852e-06,-722174.0,554073000000000.0,-8.30232e-05,-9.15852e-06,-8.30232e-05,2350600000000.0
1479,-0.332958,300.0,13.9342,1.11846e+20,-145779000000.0,-1.64998,-145779000000.0,1.11846e+20,-18.5735,-1.64998,-18.5735,4.46297e+17,-1.33317e-06,-1.27987e-22,-1.4090699999999999e-21,-9.44557e-23,-1.33317e-06,1.23227e-21,-6.31358e-24,-2.8609600000000004e-24,-4.81712e-05,854567000000000.0,-1113840.0,-5.07813e-05,-1113840.0,854567000000000.0,-3.12176e-05,-5.07813e-05,-3.12176e-05,3186820000000.0
1480,-0.332958,400.0,13.9201,1.13037e+20,-147332000000.0,-2.57352,-147332000000.0,1.13037e+20,-15.5474,-2.57352,-15.5474,4.54433e+17,-3.81854e-06,1.92391e-22,-1.3874599999999999e-21,1.97863e-22,-3.81854e-06,5.42528e-22,-6.65246e-24,-4.31082e-24,-5.10178e-05,1139630000000000.0,-1485390.0,-0.000130546,-1485390.0,1139630000000000.0,4.28059e-05,-0.000130546,4.28059e-05,3873870000000.0
1481,-0.332958,500.0,13.9081,1.13775e+20,-148293000000.0,-4.16312,-148293000000.0,1.13775e+20,-11.9968,-4.16312,-11.9968,4.53954e+17,-6.48296e-06,-2.7538e-22,-1.6320699999999999e-21,-2.69943e-22,-6.48296e-06,1.47742e-22,-8.06845e-24,-3.896180000000001e-24,-4.90239e-05,1426720000000000.0,-1859580.0,-0.000222928,-1859580.0,1426720000000000.0,9.99592e-05,-0.000222928,9.99592e-05,4562150000000.0
1482,-0.332958,600.0,13.8981,1.14287e+20,-148961000000.0,-5.95619,-148961000000.0,1.14287e+20,-8.85149,-5.95619,-8.85149,4.49553e+17,-8.85127e-06,-7.70442e-22,-2.07045e-21,3.21702e-22,-8.85127e-06,6.747340000000001e-23,-1.00472e-23,-2.56262e-24,-4.53657e-05,1718460000000000.0,-2239830.0,-0.000304645,-2239830.0,1718460000000000.0,0.000148292,-0.000304645,0.000148292,5281030000000.0
1483,-0.332958,700.0,13.89,1.14711e+20,-149514000000.0,-7.63469,-149514000000.0,1.14711e+20,-6.27339,-7.63469,-6.27339,4.43623e+17,-1.09239e-05,-6.60456e-22,-2.57675e-21,-6.8679199999999995e-22,-1.09239e-05,1.61023e-22,-1.19918e-23,-1.0426e-24,-4.13749e-05,2013050000000000.0,-2623790.0,-0.000363894,-2623790.0,2013050000000000.0,0.000195762,-0.000363894,0.000195762,6017080000000.0
1484,-0.332642,100.0,13.9406,1.23775e+20,-161327000000.0,0.163176,-161327000000.0,1.23775e+20,-25.8602,0.163176,-25.8602,3.5735e+17,-9.22117e-06,-8.00349e-22,-1.87351e-21,-3.16891e-22,-9.22117e-06,2.84778e-21,-5.42727e-24,3.0721100000000004e-23,4.63721e-06,228012000000000.0,-297189.0,-8.33424e-06,-297189.0,228012000000000.0,-3.02383e-05,-8.33424e-06,-2.9126e-05,1185010000000.0
1485,-0.332642,200.0,13.9277,1.11419e+20,-145223000000.0,-0.964935,-145223000000.0,1.11419e+20,-20.3763,-0.964935,-20.3763,4.31734e+17,-2.14917e-06,-4.16776e-24,-1.7049e-21,-6.8011e-23,-2.14917e-06,1.6121599999999998e-21,-6.90186e-24,4.18686e-27,-3.62848e-05,549185000000000.0,-715803.0,-1.13054e-05,-715803.0,549185000000000.0,-8.13237e-05,-1.13054e-05,-8.13237e-05,2427620000000.0
1486,-0.332642,300.0,13.9117,1.11927e+20,-145885000000.0,-1.19349,-145885000000.0,1.11927e+20,-19.0352,-1.19349,-19.0352,4.599e+17,-1.87463e-06,1.42702e-22,-1.31739e-21,3.22984e-22,-1.87463e-06,9.568609999999999e-22,-5.9061700000000004e-24,-3.9332800000000005e-24,-4.81205e-05,857038000000000.0,-1117060.0,-5.14332e-05,-1117060.0,857038000000000.0,-2.87243e-05,-5.14332e-05,-2.87243e-05,3223850000000.0
1487,-0.332642,400.0,13.8976,1.13173e+20,-147509000000.0,-2.26015,-147509000000.0,1.13173e+20,-15.7672,-2.26015,-15.7672,4.664e+17,-4.18475e-06,1.13258e-22,-1.22304e-21,2.27118e-22,-4.18475e-06,1.78422e-22,-5.952610000000001e-24,-5.6291900000000005e-24,-4.98673e-05,1144750000000000.0,-1492060.0,-0.000128546,-1492060.0,1144750000000000.0,4.33735e-05,-0.000128546,4.33735e-05,3879660000000.0
1488,-0.332642,500.0,13.8859,1.1399e+20,-148574000000.0,-3.91207,-148574000000.0,1.1399e+20,-12.0722,-3.91207,-12.0722,4.63679e+17,-6.70713e-06,-2.12711e-22,-1.4312599999999999e-21,-2.70697e-22,-6.70713e-06,-1.8402e-22,-7.22598e-24,-5.081210000000001e-24,-4.76178e-05,1432720000000000.0,-1867390.0,-0.000217512,-1867390.0,1432720000000000.0,9.75092e-05,-0.000217512,9.75092e-05,4546320000000.0
1489,-0.332642,600.0,13.8762,1.14555e+20,-149310000000.0,-5.72021,-149310000000.0,1.14555e+20,-8.87105,-5.72021,-8.87105,4.57283e+17,-9.00913e-06,7.6878e-22,-1.8657e-21,5.23137e-22,-9.00913e-06,-2.07509e-22,-9.19494e-24,-3.53825e-24,-4.40031e-05,1724850000000000.0,-2248160.0,-0.000296743,-2248160.0,1724850000000000.0,0.00014379,-0.000296743,0.00014379,5251800000000.0
1490,-0.332642,700.0,13.8683,1.15009e+20,-149902000000.0,-7.39238,-149902000000.0,1.15009e+20,-6.28332,-7.39238,-6.28332,4.49761e+17,-1.10497e-05,-4.77023e-22,-2.38912e-21,-6.48911e-22,-1.10497e-05,-6.5088e-23,-1.1213200000000001e-23,-1.8440900000000003e-24,-4.01447e-05,2019610000000000.0,-2632340.0,-0.000355089,-2632340.0,2019610000000000.0,0.000190333,-0.000355089,0.000190333,5980710000000.0
1491,-0.332325,100.0,13.9202,1.24785e+20,-162644000000.0,0.613401,-162644000000.0,1.24785e+20,-28.7275,0.613401,-28.7275,3.50586e+17,1.66411e-06,-1.08399e-21,-1.77432e-21,-9.97187e-22,1.66411e-06,2.04012e-21,-4.92606e-24,-1.51073e-22,-1.03204e-05,228421000000000.0,-297722.0,-8.91559e-07,-297722.0,228421000000000.0,-2.26665e-05,-8.9156e-07,-3.93061e-05,1285780000000.0
1492,-0.332325,200.0,13.9054,1.11708e+20,-145599000000.0,-0.128476,-145599000000.0,1.11708e+20,-21.1044,-0.128476,-21.1044,4.45591e+17,-1.3137e-06,-1.32006e-22,-1.6200999999999998e-21,-1.38032e-22,-1.3137e-06,1.48729e-21,-6.506840000000001e-24,-1.3629400000000002e-24,-3.993e-05,547812000000000.0,-714014.0,-1.32425e-05,-714014.0,547812000000000.0,-8.07093e-05,-1.32425e-05,-8.07093e-05,2481250000000.0
1493,-0.332325,300.0,13.8888,1.12043e+20,-146036000000.0,-0.742912,-146036000000.0,1.12043e+20,-19.4663,-0.742912,-19.4663,4.7427e+17,-2.40577e-06,2.09135e-22,-1.20842e-21,1.92682e-22,-2.40577e-06,6.68204e-22,-5.41674e-24,-5.07477e-24,-4.78948e-05,859544000000000.0,-1120320.0,-5.24148e-05,-1120320.0,859544000000000.0,-2.5159e-05,-5.24148e-05,-2.5159e-05,3251560000000.0
1494,-0.332325,400.0,13.8748,1.1334e+20,-147726000000.0,-1.96835,-147726000000.0,1.1334e+20,-15.9143,-1.96835,-15.9143,4.78538e+17,-4.57934e-06,2.45894e-22,-1.05714e-21,1.14241e-22,-4.57934e-06,-1.86595e-22,-5.22699e-24,-6.96127e-24,-4.85458e-05,1149490000000000.0,-1498230.0,-0.000126898,-1498230.0,1149490000000000.0,4.40792e-05,-0.000126898,4.40792e-05,3882620000000.0
1495,-0.332325,500.0,13.8634,1.14222e+20,-148877000000.0,-3.68905,-148877000000.0,1.14222e+20,-12.0778,-3.68905,-12.0778,4.7338e+17,-6.95232e-06,-7.58513e-22,-1.23593e-21,-5.09995e-22,-6.95232e-06,-5.09616e-22,-6.38548e-24,-6.248190000000001e-24,-4.6069e-05,1438470000000000.0,-1874880.0,-0.000212246,-1874880.0,1438470000000000.0,9.46429e-05,-0.000212246,9.46429e-05,4530840000000.0
1496,-0.332325,600.0,13.8541,1.14832e+20,-149671000000.0,-5.51154,-149671000000.0,1.14832e+20,-8.83741,-5.51154,-8.83741,4.64928e+17,-9.17945e-06,7.12041e-22,-1.66864e-21,1.38634e-21,-9.17945e-06,-4.74302e-22,-8.356470000000001e-24,-4.48667e-24,-4.25258e-05,1731100000000000.0,-2256310.0,-0.000288748,-2256310.0,1731100000000000.0,0.00013877,-0.000288748,0.00013877,5224370000000.0
1497,-0.332325,700.0,13.8465,1.15313e+20,-150298000000.0,-7.17344,-150298000000.0,1.15313e+20,-6.25509,-7.17344,-6.25509,4.55803e+17,-1.11824e-05,-1.0164899999999999e-21,-2.20877e-21,-4.78558e-22,-1.11824e-05,-2.83518e-22,-1.0450200000000001e-23,-2.6200600000000003e-24,-3.88236e-05,2026090000000000.0,-2640790.0,-0.000345986,-2640790.0,2026090000000000.0,0.000184447,-0.000345986,0.000184447,5946600000000.0
1498,-0.332009,100.0,13.8996,1.22266e+20,-159361000000.0,1.61598,-159361000000.0,1.22266e+20,-29.8288,1.61598,-29.8288,3.58426e+17,1.17805e-05,-7.70306e-22,-2.15945e-21,-2.11104e-22,1.17805e-05,1.02316e-22,-5.774350000000001e-24,-1.33387e-21,-3.02957e-05,235665000000000.0,-307164.0,2.01921e-06,-307164.0,235665000000000.0,-1.84403e-05,2.01921e-06,-0.000318144,1340630000000.0
1499,-0.332009,200.0,13.8823,1.11702e+20,-145592000000.0,0.663413,-145592000000.0,1.11702e+20,-21.6947,0.663413,-21.6947,4.62772e+17,-4.93671e-07,-2.02643e-22,-1.47468e-21,-1.73286e-22,-4.93671e-07,1.36212e-21,-5.85562e-24,-2.65793e-24,-4.32343e-05,550151000000000.0,-717062.0,-1.46356e-05,-717062.0,550151000000000.0,-8.11546e-05,-1.46356e-05,-8.11546e-05,2509410000000.0
1500,-0.332009,300.0,13.8654,1.1219e+20,-146228000000.0,-0.307871,-146228000000.0,1.1219e+20,-19.8577,-0.307871,-19.8577,4.89402e+17,-2.94443e-06,-1.76038e-22,-1.0833e-21,-7.173550000000001e-24,-2.94443e-06,3.63064e-22,-4.8476600000000006e-24,-6.28761e-24,-4.74153e-05,862189000000000.0,-1123770.0,-5.36175e-05,-1123770.0,862189000000000.0,-2.05622e-05,-5.36175e-05,-2.05622e-05,3270090000000.0
1501,-0.332009,400.0,13.8517,1.13539e+20,-147986000000.0,-1.7019,-147986000000.0,1.13539e+20,-15.9814,-1.7019,-15.9814,4.90795e+17,-4.99529e-06,1.40373e-22,-8.892999999999999e-22,7.922790000000001e-24,-4.99529e-06,-5.52844e-22,-4.474470000000001e-24,-8.30837e-24,-4.70434e-05,1153850000000000.0,-1503920.0,-0.000125541,-1503920.0,1153850000000000.0,4.48401e-05,-0.000125541,4.48401e-05,3882870000000.0
