quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
11,-0.399437,500.0,16.8267,4.76752e+19,-62139500000.0,-11.9393,-62139500000.0,4.76752e+19,20.667,-11.9393,20.667,2.84739e+17,-2.51068e-05,1.53926e-21,3.41928e-21,2.9394299999999998e-21,-2.51068e-05,-7.523729999999999e-21,2.291e-23,-4.9242800000000004e-23,-1.51701e-05,629658000000000.0,-820691.0,1.54063e-05,-820691.0,629658000000000.0,0.000140505,1.54063e-05,0.000140505,2376790000000.0
12,-0.399437,600.0,16.8236,4.84587e+19,-63160700000.0,-10.2863,-63160700000.0,4.84587e+19,19.7825,-10.2863,19.7825,2.70638e+17,-2.85298e-05,3.0171899999999998e-21,2.1637999999999996e-21,2.71195e-22,-2.85298e-05,-7.25546e-21,1.34322e-23,-4.31128e-23,-2.21815e-05,761121000000000.0,-992039.0,5.82152e-05,-992039.0,761121000000000.0,0.000157209,5.82152e-05,0.000157209,2725820000000.0
13,-0.399437,700.0,16.8211,4.91316e+19,-64037700000.0,-8.70288,-64037700000.0,4.91316e+19,19.1757,-8.70288,19.1757,2.59718e+17,-3.19363e-05,-1.27086e-22,9.27913e-22,8.923129999999999e-22,-3.19363e-05,-6.863959999999999e-21,5.3490600000000004e-24,-3.72622e-23,-2.94299e-05,888400000000000.0,-1157930.0,9.55185e-05,-1157930.0,888400000000000.0,0.000164247,9.55185e-05,0.000164247,3038280000000.0
14,-0.399121,100.0,16.8339,4.62765e+19,-60316500000.0,-12.6076,-60316500000.0,4.62765e+19,34.412,-12.6076,34.412,5.12649e+17,-3.01871e-06,-2.63151e-21,3.85455e-22,-2.33005e-21,-3.01871e-06,-1.2303899999999998e-20,4.44894e-24,-1.3678999999999999e-22,-2.36206e-06,104015000000000.0,-135572.0,-6.14523e-05,-135572.0,104015000000000.0,8.01629e-05,-6.14523e-05,8.01629e-05,663581000000.0
15,-0.399121,200.0,16.8306,4.53685e+19,-59132900000.0,-17.4322,-59132900000.0,4.53685e+19,30.9808,-17.4322,30.9808,3.83666e+17,-1.05903e-05,-1.02066e-21,2.21488e-21,-3.32393e-22,-1.05903e-05,-7.58055e-21,2.20313e-23,-6.99725e-23,-1.99981e-06,233084000000000.0,-303800.0,-7.0361e-05,-303800.0,233084000000000.0,7.63608e-05,-7.0361e-05,7.63608e-05,1134620000000.0
16,-0.399121,300.0,16.8268,4.63043e+19,-60352600000.0,-16.3653,-60352600000.0,4.63043e+19,26.3115,-16.3653,26.3115,3.32726e+17,-1.76403e-05,2.03781e-21,3.92014e-21,1.7413e-21,-1.76403e-05,-6.7477699999999994e-21,3.35922e-23,-5.72067e-23,-2.29502e-06,363811000000000.0,-474188.0,-5.40229e-05,-474188.0,363811000000000.0,9.41129e-05,-5.40229e-05,9.41129e-05,1609150000000.0
17,-0.399121,400.0,16.8226,4.72526e+19,-61588700000.0,-14.5081,-61588700000.0,4.72526e+19,23.5144,-14.5081,23.5144,3.04662e+17,-2.20762e-05,-6.55313e-22,3.96981e-21,-4.01078e-22,-2.20762e-05,-7.08301e-21,3.04408e-23,-5.35211e-23,-6.29499e-06,498318000000000.0,-649504.0,-2.17094e-05,-649504.0,498318000000000.0,0.00011811,-2.17094e-05,0.00011811,2030860000000.0
18,-0.399121,500.0,16.8187,4.81217e+19,-62721500000.0,-12.5777,-62721500000.0,4.81217e+19,21.8008,-12.5777,21.8008,2.85855e+17,-2.56162e-05,-5.8895299999999996e-21,3.05731e-21,-1.88387e-21,-2.56162e-05,-7.17135e-21,2.1538900000000002e-23,-4.8454200000000004e-23,-1.26932e-05,632879000000000.0,-824889.0,2.12321e-05,-824889.0,632879000000000.0,0.000141341,2.12321e-05,0.000141341,2423790000000.0
19,-0.399121,600.0,16.8154,4.88864e+19,-63718100000.0,-10.7139,-63718100000.0,4.88864e+19,20.7014,-10.7139,20.7014,2.72045e+17,-2.89138e-05,-4.6218999999999995e-21,1.82059e-21,-7.49801e-23,-2.89138e-05,-6.964729999999999e-21,1.20542e-23,-4.2473e-23,-2.01398e-05,764990000000000.0,-997082.0,6.52578e-05,-997082.0,764990000000000.0,0.000157082,6.52578e-05,0.000157082,2785020000000.0
20,-0.399121,700.0,16.8128,4.95442e+19,-64575500000.0,-8.96918,-64575500000.0,4.95442e+19,19.9317,-8.96918,19.9317,2.61371e+17,-3.22038e-05,-3.64481e-21,6.15983e-22,-5.4471299999999994e-21,-3.22038e-05,-6.60932e-21,4.0718900000000004e-24,-3.6694800000000004e-23,-2.76617e-05,893123000000000.0,-1164090.0,0.000102053,-1164090.0,893123000000000.0,0.00016393,0.000102053,0.00016393,3104370000000.0
21,-0.398804,100.0,16.8261,4.61853e+19,-60197600000.0,-13.9735,-60197600000.0,4.61853e+19,49.6343,-13.9735,49.6343,5.02188e+17,1.40769e-06,-1.60246e-21,1.4937599999999999e-21,-1.74627e-21,1.40769e-06,-1.2367499999999999e-20,2.02672e-23,-1.48773e-22,1.47114e-05,106074000000000.0,-138256.0,-6.00935e-05,-138256.0,106074000000000.0,6.96784e-05,-6.00935e-05,6.96784e-05,690514000000.0
22,-0.398804,200.0,16.823,4.57371e+19,-59613400000.0,-18.21,-59613400000.0,4.57371e+19,34.767,-18.21,34.767,3.82608e+17,-1.13491e-05,-1.2303699999999999e-21,2.20141e-21,3.67151e-22,-1.13491e-05,-6.54672e-21,2.5437e-23,-6.81711e-23,6.28617e-06,236631000000000.0,-308423.0,-7.89169e-05,-308423.0,236631000000000.0,7.0078e-05,-7.89169e-05,7.0078e-05,1137190000000.0
23,-0.398804,300.0,16.819,4.67934e+19,-60990200000.0,-17.3442,-60990200000.0,4.67934e+19,28.1754,-17.3442,28.1754,3.32409e+17,-1.83665e-05,-7.31511e-22,3.6134999999999996e-21,1.4118999999999998e-21,-1.83665e-05,-6.07652e-21,3.33288e-23,-5.56086e-23,2.29795e-06,366802000000000.0,-478086.0,-5.80026e-05,-478086.0,366802000000000.0,9.68375e-05,-5.80026e-05,9.68375e-05,1623780000000.0
24,-0.398804,400.0,16.8147,4.77397e+19,-62223600000.0,-15.3409,-62223600000.0,4.77397e+19,24.8809,-15.3409,24.8809,3.04902e+17,-2.26678e-05,-4.30492e-22,3.58787e-21,-1.37511e-22,-2.26678e-05,-6.6021199999999994e-21,2.9182e-23,-5.2330600000000005e-23,-3.16497e-06,501140000000000.0,-653182.0,-1.95175e-05,-653182.0,501140000000000.0,0.000121093,-1.95175e-05,0.000121093,2063830000000.0
25,-0.398804,500.0,16.8107,4.85845e+19,-63324700000.0,-13.181,-63324700000.0,4.85845e+19,22.8998,-13.181,22.8998,2.86604e+17,-2.60874e-05,7.77745e-22,2.6699699999999997e-21,1.95675e-21,-2.60874e-05,-6.797009999999999e-21,2.00319e-23,-4.75346e-23,-1.03058e-05,636019000000000.0,-828982.0,2.7038e-05,-828982.0,636019000000000.0,0.000142675,2.7038e-05,0.000142675,2473340000000.0
26,-0.398804,600.0,16.8072,4.93263e+19,-64291500000.0,-11.1129,-64291500000.0,4.93263e+19,21.6007,-11.1129,21.6007,2.73219e+17,-2.92675e-05,-3.63284e-21,1.4562999999999998e-21,2.4879199999999997e-21,-2.92675e-05,-6.6560299999999996e-21,1.05631e-23,-4.17206e-23,-1.8186e-05,768765000000000.0,-1002000.0,7.21459e-05,-1002000.0,768765000000000.0,0.000157324,7.21459e-05,0.000157324,2845930000000.0
27,-0.398804,700.0,16.8045,4.99661e+19,-65125400000.0,-9.21202,-65125400000.0,4.99661e+19,20.6759,-9.21202,20.6759,2.62866e+17,-3.24485e-05,-5.56234e-21,2.89228e-22,-5.18312e-21,-3.24485e-05,-6.34064e-21,2.71589e-24,-3.60379e-23,-2.59707e-05,897749000000000.0,-1170120.0,0.000108334,-1170120.0,897749000000000.0,0.000163874,0.000108334,0.000163874,3171570000000.0
28,-0.398487,100.0,16.8181,4.55327e+19,-59346900000.0,-16.3137,-59346900000.0,4.55327e+19,63.2119,-16.3137,63.2119,4.74587e+17,4.05947e-06,-9.57854e-22,2.35658e-21,-7.76058e-22,4.05947e-06,-1.06648e-20,3.3506400000000004e-23,-1.45814e-22,2.90219e-05,110445000000000.0,-143953.0,-5.79194e-05,-143953.0,110445000000000.0,5.25059e-05,-5.79194e-05,5.25059e-05,719075000000.0
29,-0.398487,200.0,16.8153,4.61395e+19,-60137900000.0,-19.0829,-60137900000.0,4.61395e+19,37.9695,-19.0829,37.9695,3.77215e+17,-1.23383e-05,-1.73775e-21,2.22408e-21,4.47817e-22,-1.23383e-05,-5.131e-21,2.92058e-23,-6.388070000000001e-23,1.4313e-05,240300000000000.0,-313205.0,-8.57773e-05,-313205.0,240300000000000.0,6.54994e-05,-8.57773e-05,6.54994e-05,1153710000000.0
30,-0.398487,300.0,16.8112,4.7315e+19,-61670000000.0,-18.2901,-61670000000.0,4.7315e+19,29.8568,-18.2901,29.8568,3.30693e+17,-1.90879e-05,1.38878e-22,3.31258e-21,2.7880399999999997e-21,-1.90879e-05,-5.3358899999999994e-21,3.3146500000000004e-23,-5.360820000000001e-23,6.76665e-06,369693000000000.0,-481855.0,-6.11698e-05,-481855.0,369693000000000.0,0.000100693,-6.11698e-05,0.000100693,1645540000000.0
31,-0.398487,400.0,16.8068,4.82483e+19,-62886400000.0,-16.1282,-62886400000.0,4.82483e+19,26.1707,-16.1282,26.1707,3.04505e+17,-2.32153e-05,-1.88951e-21,3.18517e-21,1.3207999999999999e-21,-2.32153e-05,-6.0968299999999995e-21,2.78138e-23,-5.09916e-23,-1.45826e-07,503901000000000.0,-656781.0,-1.70664e-05,-656781.0,503901000000000.0,0.000124751,-1.70664e-05,0.000124751,2100790000000.0
32,-0.398487,500.0,16.8026,4.9063e+19,-63948300000.0,-13.7449,-63948300000.0,4.9063e+19,23.9589,-13.7449,23.9589,2.86995e+17,-2.65174e-05,1.2422399999999999e-21,2.2579499999999998e-21,-5.6223e-23,-2.65174e-05,-6.40392e-21,1.83884e-23,-4.6489999999999997e-23,-8.0255e-06,639089000000000.0,-832983.0,3.28213e-05,-832983.0,639089000000000.0,0.000144515,3.28213e-05,0.000144515,2525460000000.0
