distance,rms,atom_a,atom_b
0.0,2.4083955725465436,1,1
4.429597434503725,0.393271712582977,1,2
8.85919486900745,0.0689860062667635,1,3
4.429597434503725,0.393271712582977,1,4
4.429597434503725,0.3932717125829768,1,5
4.429597434503725,0.3932717125829769,1,6
7.672287813637204,0.034097371609212786,1,7
7.672287813637203,0.034097371609212786,1,8
8.85919486900745,0.06898600626676371,1,9
7.672287813637205,0.03409733288190012,1,10
8.85919486900745,0.06898600626676371,1,11
7.672287813637205,0.03409737160921305,1,12
4.429597434503725,0.393271712582977,1,13
7.672287813637204,0.03409733288189999,1,14
7.672287813637204,0.03409733288189999,1,15
4.429597434503725,0.393271712582977,1,16
4.857977413792058,0.2180597577799201,1,17
7.927333184396722,0.03136274793165842,1,18
7.9273331843967725,0.03136274793165842,1,19
4.857977413792086,0.2180597577799201,1,20
4.857977413792086,0.21805975777991995,1,21
6.574289161930418,0.2996772912985225,1,22
10.103725960256515,0.12833427487294116,1,23
6.5742891619304595,0.29967729129852233,1,24
7.9273331843967725,0.031362747931658504,1,25
7.9273331843967565,0.031362747931658504,1,26
10.103725960256527,0.12833427487294122,1,27
10.103725960256513,0.12833427487294122,1,28
7.927333184396721,0.031362747931658566,1,29
11.032071959143629,0.01795188026516935,1,30
7.927333184396755,0.031362747931658566,1,31
6.574289161930417,0.29967729129852244,1,32
3.0815561821881583,0.8296582171650062,1,33
6.981307568608172,0.059736637372322786,1,34
6.98130756860823,0.059736637372322786,1,35
3.081556182188202,0.8296582171650062,1,36
3.081556182188202,0.8296582171650061,1,37
5.396046880424969,0.02442590610111139,1,38
9.37983593838558,0.0069779435346577125,1,39
5.396046880425019,0.02442590610111139,1,40
6.98130756860823,0.059736637372322904,1,41
6.981307568608211,0.059736637372322904,1,42
9.379835938385595,0.006977943534657752,1,43
9.37983593838558,0.006977943534657752,1,44
6.981307568608171,0.05973663737232274,1,45
10.373169991029329,0.016792921703121286,1,46
6.98130756860821,0.059736637372322696,1,47
5.396046880424968,0.0244259061011115,1,48
3.287144580965208,0.15533148789184717,1,49
5.516035979571814,0.03417495339290625,1,50
9.449373165624088,0.01924802596359755,1,51
5.516035979571838,0.03417495339290625,1,52
3.287144580965229,0.15533148789184714,1,53
3.287144580965208,0.15533148789184711,1,54
7.07446014616612,0.1165648231696239,1,55
7.074460146166149,0.1165648231696239,1,56
7.074460146166149,0.11656482316962406,1,57
5.5160359795718374,0.03417495339290637,1,58
7.074460146166129,0.11656482316962406,1,59
10.436090582923221,0.03526103144545496,1,60
7.07446014616612,0.11656482316962409,1,61
9.449373165624088,0.019248025963597537,1,62
9.44937316562411,0.019248025963597537,1,63
7.07446014616613,0.11656482316962409,1,64
5.849484341885438,0.022523708854067678,1,65
