rms,d_ab,d_ac,d_bc,d_min,d_max,d_avg
14.005310249639836,0.0,0.0,0.0,0.0,0.0,0.0
7.06183474804695,0.0,2.2595609071650093,2.2595609071650093,0.0,2.2595609071650093,1.5063739381100063
0.46982648545938027,0.0,3.541878685973122,3.541878685973122,0.0,3.541878685973122,2.3612524573154148
0.147338470104424,0.0,3.5862920690738624,3.5862920690738624,0.0,3.5862920690738624,2.390861379382575
0.042269554784661434,0.0,4.6663788614,4.6663788614,0.0,4.6663788614,3.1109192409333333
0.13704944541703531,0.0,4.351481960285034,4.351481960285034,0.0,4.351481960285034,2.9009879735233564
7.557705066639309,0.0,2.217245787927954,2.217245787927954,0.0,2.217245787927954,1.478163858618636
0.07987061024480156,0.0,4.6663788614,4.6663788614,0.0,4.6663788614,3.1109192409333333
0.3243368357033461,0.0,3.5418786859738574,3.5418786859738574,0.0,3.5418786859738574,2.361252457315905
0.2902470689290804,0.0,3.2986597698,3.2986597698,0.0,3.2986597698,2.1991065132
0.10600406900010538,0.0,3.9983461293496525,3.9983461293496525,0.0,3.9983461293496525,2.665564086233102
0.15767602219411997,0.0,5.460453417765146,5.460453417765146,0.0,5.460453417765146,3.6403022785100974
0.09973039659735727,0.0,5.165122596582623,5.165122596582623,0.0,5.165122596582623,3.443415064388415
0.09973039659735727,0.0,5.165122596530336,5.165122596530336,0.0,5.165122596530336,3.443415064353557
0.2902470689290804,0.0,3.2986597698,3.2986597698,0.0,3.2986597698,2.1991065132
0.10600406900010538,0.0,3.9983461293496525,3.9983461293496525,0.0,3.9983461293496525,2.665564086233102
0.46982648545938027,0.0,3.541878685994272,3.541878685994272,0.0,3.541878685994272,2.3612524573295146
0.147338470104424,0.0,3.5862920690947506,3.5862920690947506,0.0,3.5862920690947506,2.3908613793965006
0.15767602219411997,0.0,5.460453417765146,5.460453417765146,0.0,5.460453417765146,3.6403022785100974
7.557705066639309,0.0,2.2172457879617395,2.2172457879617395,0.0,2.2172457879617395,1.4781638586411596
0.3243368357033461,0.0,3.5418786859950067,3.5418786859950067,0.0,3.5418786859950067,2.3612524573300044
7.06183474804695,2.2595609071650093,0.0,2.2595609071650093,0.0,2.2595609071650093,1.5063739381100063
7.061834748046951,2.2595609071650093,2.2595609071650093,0.0,0.0,2.2595609071650093,1.5063739381100063
0.12196059117345066,2.2595609071650093,3.541878685973122,3.5862920690738624,2.2595609071650093,3.5862920690738624,3.129243887403998
0.12196059117345066,2.2595609071650093,3.5862920690738624,3.541878685973122,2.2595609071650093,3.5862920690738624,3.129243887403998
0.03475650849898068,2.2595609071650093,4.351481960285034,4.6663788614,2.2595609071650093,4.6663788614,3.759140576283348
0.3686835409155751,2.2595609071650093,2.217245787927954,3.5418786859738574,2.217245787927954,3.5418786859738574,2.6728951270222736
0.03475650849898068,2.2595609071650093,4.6663788614,4.351481960285034,2.2595609071650093,4.6663788614,3.759140576283348
0.3686835409155751,2.2595609071650093,3.5418786859738574,2.217245787927954,2.217245787927954,3.5418786859738574,2.6728951270222736
0.050212537884892154,2.2595609071650093,3.2986597698,3.9983461293496525,2.2595609071650093,3.9983461293496525,3.1855222687715536
0.05021253788489214,2.2595609071650093,3.9983461293496525,3.2986597698,2.2595609071650093,3.9983461293496525,3.1855222687715536
0.050212537884892154,2.2595609071650093,3.2986597698,3.9983461293496525,2.2595609071650093,3.9983461293496525,3.1855222687715536
0.05021253788489214,2.2595609071650093,3.9983461293496525,3.2986597698,2.2595609071650093,3.9983461293496525,3.1855222687715536
0.12196059117345066,2.2595609071650093,3.541878685994272,3.5862920690947506,2.2595609071650093,3.5862920690947506,3.1292438874180113
0.12196059117345066,2.2595609071650093,3.5862920690947506,3.541878685994272,2.2595609071650093,3.5862920690947506,3.1292438874180104
0.3686835409155751,2.2595609071650093,2.2172457879617395,3.5418786859950067,2.2172457879617395,3.5418786859950067,2.672895127040585
0.3686835409155751,2.2595609071650093,3.5418786859950067,2.2172457879617395,2.2172457879617395,3.5418786859950067,2.672895127040585
0.46982648545938027,3.541878685973122,0.0,3.541878685973122,0.0,3.541878685973122,2.3612524573154148
0.12196059117345066,3.541878685973122,2.2595609071650093,3.5862920690738624,2.2595609071650093,3.5862920690738624,3.129243887403998
0.32433683570334604,3.541878685973122,3.541878685973122,0.0,0.0,3.541878685973122,2.3612524573154148
0.03974345191300335,3.541878685973122,4.6663788614,3.5418786859738574,3.541878685973122,4.6663788614,3.9167120777823268
0.05910315307967368,3.541878685973122,4.351481960285034,2.217245787927954,2.217245787927954,4.351481960285034,3.370202144728703
0.36868354091557515,3.541878685973122,2.217245787927954,2.259560907164589,2.217245787927954,3.541878685973122,2.6728951270218886
0.03974345191300336,3.541878685973122,3.5418786859738574,4.6663788614,3.541878685973122,4.6663788614,3.9167120777823263
0.1302279891942056,3.541878685973122,3.2986597698,3.541878685994272,3.2986597698,3.541878685994272,3.460805713922465
0.029950692574356598,3.541878685973122,3.9983461293496525,3.5862920690947506,3.541878685973122,3.9983461293496525,3.708838961472509
0.08875070908515169,3.541878685973122,5.460453417765146,2.2172457879617395,2.2172457879617395,5.460453417765146,3.739859297233336
0.024926608469994897,3.541878685973122,5.165122596582623,3.9983461293494154,3.541878685973122,5.165122596582623,4.2351158039683865
0.06061660060250574,3.541878685973122,3.541878685994272,3.2986597698,3.2986597698,3.541878685994272,3.460805713922465
0.018567391925404412,3.541878685973122,5.460453417765146,5.165122596582623,3.541878685973122,5.460453417765146,4.722484900106964
0.09759803675475619,3.541878685973122,2.2172457879617395,3.9983461293494154,2.2172457879617395,3.9983461293494154,3.2524902010947585
0.147338470104424,3.5862920690738624,0.0,3.5862920690738624,0.0,3.5862920690738624,2.390861379382575
0.12196059117345068,3.5862920690738624,2.2595609071650093,3.541878685973122,2.2595609071650093,3.5862920690738624,3.129243887403998
0.147338470104424,3.5862920690738624,3.5862920690738624,0.0,0.0,3.5862920690738624,2.390861379382575
0.04944367184785526,3.5862920690738624,2.217245787927954,4.6663788614,2.217245787927954,4.6663788614,3.489972239467272
0.04944367184785526,3.5862920690738624,4.6663788614,2.217245787927954,2.217245787927954,4.6663788614,3.489972239467272
0.12196059117345068,3.5862920690738624,3.5418786859738574,2.259560907164589,2.259560907164589,3.5862920690738624,3.129243887404103
0.06187399505578213,3.5862920690738624,3.2986597698,3.5862920690947506,3.2986597698,3.5862920690947506,3.490414635989538
0.029950692574356598,3.5862920690738624,3.9983461293496525,3.541878685994272,3.541878685994272,3.9983461293496525,3.708838961472596
0.06187399505578212,3.5862920690738624,3.5862920690947506,3.2986597698,3.2986597698,3.5862920690947506,3.490414635989538
0.029950692574356595,3.5862920690738624,3.5418786859950067,3.9983461293494154,3.5418786859950067,3.9983461293494154,3.708838961472761
0.042269554784661434,4.6663788614,0.0,4.6663788614,0.0,4.6663788614,3.1109192409333333
0.03974345191300335,4.6663788614,3.541878685973122,3.5418786859738574,3.541878685973122,4.6663788614,3.9167120777823268
0.07987061024480156,4.6663788614,4.6663788614,0.0,0.0,4.6663788614,3.1109192409333333
0.03475650849898068,4.6663788614,4.351481960285034,2.259560907165009,2.259560907165009,4.6663788614,3.759140576283347
0.04944367184785526,4.6663788614,2.217245787927954,3.5862920690738624,2.217245787927954,4.6663788614,3.489972239467272
0.009716614064124095,4.6663788614,5.460453417765146,3.9983461293496525,3.9983461293496525,5.460453417765146,4.708392802838266
0.03974345191300335,4.6663788614,3.541878685994272,3.5418786859950067,3.541878685994272,4.6663788614,3.916712077796426
0.009716614064124095,4.6663788614,5.460453417765146,3.9983461293496525,3.9983461293496525,5.460453417765146,4.708392802838266
0.04944367184785526,4.6663788614,2.2172457879617395,3.5862920690947506,2.2172457879617395,4.6663788614,3.4899722394854966
0.13704944541703534,4.351481960285034,0.0,4.351481960285034,0.0,4.351481960285034,2.9009879735233564
0.03475650849898068,4.351481960285034,2.2595609071650093,4.6663788614,2.2595609071650093,4.6663788614,3.759140576283348
0.05910315307967368,4.351481960285034,3.541878685973122,2.217245787927954,2.217245787927954,4.351481960285034,3.370202144728703
0.03475650849898068,4.351481960285034,4.6663788614,2.259560907165009,2.259560907165009,4.6663788614,3.759140576283347
0.13704944541703531,4.351481960285034,4.351481960285034,0.0,0.0,4.351481960285034,2.9009879735233564
0.05910315307967368,4.351481960285034,2.217245787927954,3.541878685973122,2.217245787927954,4.351481960285034,3.370202144728703
0.029469906049959443,4.351481960285034,3.2986597698,5.460453417765146,3.2986597698,5.460453417765146,4.370198382616727
0.029469906049959443,4.351481960285034,5.460453417765146,3.2986597698,3.2986597698,5.460453417765146,4.370198382616727
0.029469906049959443,4.351481960285034,3.2986597698,5.460453417765146,3.2986597698,5.460453417765146,4.370198382616727
0.05910315307967368,4.351481960285034,3.541878685994272,2.2172457879617395,2.2172457879617395,4.351481960285034,3.370202144747015
0.029469906049959443,4.351481960285034,5.460453417765146,3.2986597698,3.2986597698,5.460453417765146,4.370198382616727
0.05910315307967368,4.351481960285034,2.2172457879617395,3.541878685994272,2.2172457879617395,4.351481960285034,3.370202144747015
7.557705066639309,2.217245787927954,0.0,2.217245787927954,0.0,2.217245787927954,1.478163858618636
0.36868354091557515,2.217245787927954,2.2595609071650093,3.5418786859738574,2.217245787927954,3.5418786859738574,2.6728951270222736
0.36868354091557515,2.217245787927954,3.541878685973122,2.259560907164589,2.217245787927954,3.541878685973122,2.6728951270218886
0.04944367184785526,2.217245787927954,3.5862920690738624,4.6663788614,2.217245787927954,4.6663788614,3.489972239467272
0.04944367184785526,2.217245787927954,4.6663788614,3.5862920690738624,2.217245787927954,4.6663788614,3.489972239467272
0.05910315307967368,2.217245787927954,4.351481960285034,3.541878685973122,2.217245787927954,4.351481960285034,3.370202144728703
7.557705066639308,2.217245787927954,2.217245787927954,0.0,0.0,2.217245787927954,1.478163858618636
0.05910315307967368,2.217245787927954,3.5418786859738574,4.351481960286012,2.217245787927954,4.351481960286012,3.3702021447292747
0.3541767992372953,2.217245787927954,3.2986597698,2.2172457879617395,2.217245787927954,3.2986597698,2.577717115229898
0.09759803675475619,2.217245787927954,3.9983461293496525,3.5418786859950067,2.217245787927954,3.9983461293496525,3.2524902010908714
0.08875070908515169,2.217245787927954,5.460453417765146,3.541878685994272,2.217245787927954,5.460453417765146,3.739859297229124
0.06462618278411679,2.217245787927954,5.165122596582623,3.2986597698000004,2.217245787927954,5.165122596582623,3.560342718103526
0.06462618278411679,2.217245787927954,3.2986597698,5.165122596582623,2.217245787927954,5.165122596582623,3.560342718103526
0.09759803675475619,2.217245787927954,3.541878685994272,3.9983461293494154,2.217245787927954,3.9983461293494154,3.252490201090547
0.3541767992372953,2.217245787927954,2.2172457879617395,3.2986597698,2.217245787927954,3.2986597698,2.577717115229898
0.08875070908515169,2.217245787927954,3.5418786859950067,5.460453417765926,2.217245787927954,5.460453417765926,3.739859297229629
0.07987061024480156,4.6663788614,0.0,4.6663788614,0.0,4.6663788614,3.1109192409333333
0.03475650849898068,4.6663788614,2.2595609071650093,4.351481960285034,2.2595609071650093,4.6663788614,3.759140576283348
0.04944367184785526,4.6663788614,3.5862920690738624,2.217245787927954,2.217245787927954,4.6663788614,3.489972239467272
0.042269554784661434,4.6663788614,4.6663788614,0.0,0.0,4.6663788614,3.1109192409333333
0.03974345191300336,4.6663788614,3.5418786859738574,3.541878685973122,3.541878685973122,4.6663788614,3.9167120777823268
0.009716614064124095,4.6663788614,3.9983461293496525,5.460453417765146,3.9983461293496525,5.460453417765146,4.708392802838266
0.009716614064124095,4.6663788614,3.9983461293496525,5.460453417765146,3.9983461293496525,5.460453417765146,4.708392802838266
0.04944367184785526,4.6663788614,3.5862920690947506,2.2172457879617395,2.2172457879617395,4.6663788614,3.4899722394854975
0.03974345191300336,4.6663788614,3.5418786859950067,3.541878685994272,3.541878685994272,4.6663788614,3.916712077796426
0.3243368357033461,3.5418786859738574,0.0,3.5418786859738574,0.0,3.5418786859738574,2.361252457315905
0.3686835409155751,3.5418786859738574,2.2595609071650093,2.217245787927954,2.217245787927954,3.5418786859738574,2.6728951270222736
