quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
10,-0.399437,400.0,16.8304,1.2008311735562537e+20,-156515370636.2296,-34.990598824908126,-156515370636.2296,1.2008311735562537e+20,56.67573056102454,-34.990598824908126,56.67573056102454,7.796586386251101e+17,-2.14461e-05,-2.91399e-21,4.33181e-21,-6.88576e-22,-2.14461e-05,-7.533389999999999e-21,3.1607e-23,-5.45518e-23,-9.49598e-06,1271589535117739.5,-1657381.605972381,-6.089572033502414e-05,-1657381.605972381,1271589535117739.5,0.00029708810139885756,-6.089572033502414e-05,0.00029708810139885756,5137777234943.837
11,-0.399437,500.0,16.8267,1.2236276394196915e+20,-159486713636.69144,-30.643306111612585,-159486713636.69144,1.2236276394196915e+20,53.043746903813236,-30.643306111612585,53.043746903813236,7.308087022618124e+17,-2.51068e-05,1.53926e-21,3.41928e-21,2.9394299999999998e-21,-2.51068e-05,-7.523729999999999e-21,2.291e-23,-4.9242800000000004e-23,-1.51701e-05,1616074882080671.2,-2106378.5595508483,3.9541678904737874e-05,-2106378.5595508483,1616074882080671.2,0.0003606189412454772,3.9541678904737874e-05,0.0003606189412454772,6100249054217.557
12,-0.399437,600.0,16.8236,1.243736883963717e+20,-162107716894.93765,-26.40073033225403,-162107716894.93765,1.243736883963717e+20,50.77359670608628,-26.40073033225403,50.77359670608628,6.946171952656024e+17,-2.85298e-05,3.0171899999999998e-21,2.1637999999999996e-21,2.71195e-22,-2.85298e-05,-7.25546e-21,1.34322e-23,-4.31128e-23,-2.21815e-05,1953486702819820.5,-2546158.8829879505,0.00014941463854235582,-2546158.8829879505,1953486702819820.5,0.0004034912859632058,0.00014941463854235582,0.0004034912859632058,6996066491767.174
13,-0.399437,700.0,16.8211,1.2610074782887648e+20,-164358617656.2791,-22.336737990722316,-164358617656.2791,1.2610074782887648e+20,49.2161889729255,-22.336737990722316,49.2161889729255,6.665900158883517e+17,-3.19363e-05,-1.27086e-22,9.27913e-22,8.923129999999999e-22,-3.19363e-05,-6.863959999999999e-21,5.3490600000000004e-24,-3.72622e-23,-2.94299e-05,2280159904647393.0,-2971933.3165109814,0.0002451569719181247,-2971933.3165109814,2280159904647393.0,0.0004215549570673349,0.0002451569719181247,0.0004215549570673349,7798023677501.218
14,-0.399121,100.0,16.8339,1.1877287238565408e+20,-154807817299.26215,-32.35855922313426,-154807817299.26215,1.1877287238565408e+20,88.32154731959263,-32.35855922313426,88.32154731959263,1.315760575143608e+18,-3.01871e-06,-2.63151e-21,3.85455e-22,-2.33005e-21,-3.01871e-06,-1.2303899999999998e-20,4.44894e-24,-1.3678999999999999e-22,-2.36206e-06,266964016751349.16,-347957.9452868712,-0.0001577229519454784,-347957.9452868712,266964016751349.16,0.00020574541920335268,-0.0001577229519454784,0.00020574541920335268,1703141366147.931
15,-0.399121,200.0,16.8306,1.1644240728725265e+20,-151769999578.48248,-44.741336661182224,-151769999578.48248,1.1644240728725265e+20,79.515058502814,-44.741336661182224,79.515058502814,9.847139013692557e+17,-1.05903e-05,-1.02066e-21,2.21488e-21,-3.32393e-22,-1.05903e-05,-7.58055e-21,2.20313e-23,-6.99725e-23,-1.99981e-06,598231417396255.0,-779730.503187616,-0.00018058794580244847,-779730.503187616,598231417396255.0,0.00019598698159252438,-0.00018058794580244847,0.00019598698159252438,2912106068224.9272
16,-0.399121,300.0,16.8268,1.1884422362985624e+20,-154900471253.06424,-42.00304017056054,-154900471253.06424,1.1884422362985624e+20,67.53087272752126,-42.00304017056054,67.53087272752126,8.539717294391136e+17,-1.76403e-05,2.03781e-21,3.92014e-21,1.7413e-21,-1.76403e-05,-6.7477699999999994e-21,3.35922e-23,-5.72067e-23,-2.29502e-06,933754226778109.8,-1217046.8987673772,-0.00013865471692117926,-1217046.8987673772,933754226778109.8,0.00024154937088033504,-0.00013865471692117926,0.00024154937088033504,4130030741291.482
17,-0.399121,400.0,16.8226,1.2127812236643562e+20,-158073035028.5422,-37.23636640321347,-158073035028.5422,1.2127812236643562e+20,60.35185959234653,-37.23636640321347,60.35185959234653,7.819429050761865e+17,-2.20762e-05,-6.55313e-22,3.96981e-21,-4.01078e-22,-2.20762e-05,-7.08301e-21,3.04408e-23,-5.35211e-23,-6.29499e-06,1278978752098243.8,-1667011.4573481544,-5.5719161902242365e-05,-1667011.4573481544,1278978752098243.8,0.0003031401241984507,-5.5719161902242365e-05,0.0003031401241984507,5212388050373.937
18,-0.399121,500.0,16.8187,1.235087470547844e+20,-160980469900.20425,-32.281818136744164,-160980469900.20425,1.235087470547844e+20,55.953748366993345,-32.281818136744164,55.953748366993345,7.33673018395971e+17,-2.56162e-05,-5.8895299999999996e-21,3.05731e-21,-1.88387e-21,-2.56162e-05,-7.17135e-21,2.1538900000000002e-23,-4.8454200000000004e-23,-1.26932e-05,1624341873360353.0,-2117153.1107436777,5.449412777067077e-05,-2117153.1107436777,1624341873360353.0,0.00036276461175457805,5.449412777067077e-05,0.00036276461175457805,6220878855566.529
19,-0.399121,600.0,16.8154,1.2547141958864737e+20,-163538335007.1061,-27.49820486537788,-163538335007.1061,1.2547141958864737e+20,53.132037652034604,-27.49820486537788,53.132037652034604,6.982283895315174e+17,-2.89138e-05,-4.6218999999999995e-21,1.82059e-21,-7.49801e-23,-2.89138e-05,-6.964729999999999e-21,1.20542e-23,-4.2473e-23,-2.01398e-05,1963416845403207.2,-2559102.2040135437,0.0001674901159674681,-2559102.2040135437,1963416845403207.2,0.0004031653288404118,0.0001674901159674681,0.0004031653288404118,7148008709636.519
